sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
2,0,2,0,0,0,0,0,,,,,"[0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334]",118.48544530000072,None,1.3884896817651626,time,1784.0,-0.8681180951567558,5.887074843068101e-05,0,28,[],0.01283336675260216,None,None,119.52330510003958,None,0.2042542666895315,1.5927439484546941,119.73404430004302,None,,105.39494330005255,None,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,1.3884896817651626,time,315.0,2.3406033988501878,0.00012912197917684936,0,29,[],0.010583466733805835,None,['space'],121.15079280000646,121.15079280000646,0.21296146663371474,1.6014511483988774,121.36479240003973,121.15079280000646,[-1.0709822999779135],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,1.3884896817651626,time,132.0,3.231042683500461,0.0009579863317118914,0,30,[],0.010961566818878055,None,None,122.77605079999194,122.77605079999194,0.21462486684322357,1.6031145486083862,122.99332750006579,122.77605079999194,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,1.3884896817651626,time,945.0,-0.3405926806570203,4.0855389069094326e-05,0,31,[],0.010128966765478253,None,None,124.40816490002908,124.40816490002908,0.21236986678559333,1.600859548550756,124.62639210000634,124.40816490002908,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,1.3884896817651626,time,198.0,0.2797357711750108,0.00028165250208215484,0,32,[],0.010941166779957712,None,['space'],126.04109319997951,126.04109319997951,0.21293506678193808,1.6014247485471007,126.24791310005821,126.04109319997951,[-1.1451290999539196],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
2,0,2,0,5,0,5,0,,,,,,,,1.3884896817651626,time,,,,1,32,[],0.011076666763983667,None,None,127.6650673999684,127.6650673999684,0.21706926671322435,1.605558948478387,127.87852250004653,127.6650673999684,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
2,0,2,0,6,0,6,0,,,,,,,,1.3884896817651626,time,1191.0,-0.9939191458506695,4.6414450891013484e-05,0,33,[],0.01033816672861576,None,None,129.29446180001833,129.29446180001833,0.20876526669599116,1.5972549484611538,129.5112638999708,129.29446180001833,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
2,0,2,0,7,0,7,0,,,,,,,,1.3884896817651626,time,668.0,-0.05105468011746783,4.7551998725514486e-05,0,34,[],0.010903766611590981,None,['space'],130.92757359996904,130.92757359996904,0.21335216669831425,1.6018418484634769,131.14193579996936,130.92757359996904,[-1.2478734999895096],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
2,0,2,0,8,0,8,0,,,,,,,,1.3884896817651626,time,530.0,-0.22198336422568055,6.508001549406334e-05,0,35,[],0.010689966613426805,None,['space'],132.55964039999526,132.55964039999526,0.21523496659938246,1.603724648364545,132.77727800002322,132.55964039999526,[-1.1193375999573618],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
2,0,2,0,9,0,9,0,,,,,,,,1.3884896817651626,time,750.0,-0.16227934883440442,3.9889265259494495e-05,0,36,[],0.010493066743947566,None,['space'],134.19326400000136,134.19326400000136,0.2236101666931063,1.612099848458269,134.4084964999929,134.19326400000136,[-1.2173767000203952],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
