sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_frequency,Audiogram_time,Audiogram_none,Audiogram_both,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,0,10,0,,,,,,,,1.3797040829159446,frequency,151.0,-0.20381683913158044,0.00047985362135341797,0,35,[],0.010268867015838623,None,['space'],79.44036390027031,79.44036390027031,0.2244276669807732,1.6041317498967178,79.66244020033628,79.44036390027031,[-1.160160199739039],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,,83.14418510021642,None,2.6608829363562947,time,674.0,-5.821510256316783,2.4201499956923874e-05,0,26,[],0.01272096624597907,None,None,84.16462239995599,None,0.23403396643698215,2.894916902793277,84.38550879992545,None,,81.06252419995144,None,"[0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,2.6608829363562947,time,253.0,-3.7103312397179966,0.00010718471975922207,0,27,[],0.011300066951662302,None,None,87.07074380014092,87.07074380014092,0.2005300670862198,2.8614130034425145,87.27697060024366,87.07074380014092,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.6608829363562947,time,1070.0,3.620764948780027,7.12778226001255e-05,0,28,[],0.0113773662596941,None,None,89.96611660020426,89.96611660020426,0.2259483663365245,2.886831302692819,90.1858399999328,89.96611660020426,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,2.6608829363562947,time,477.0,-4.72408604459961,4.2155231937482145e-05,0,29,[],0.01126076653599739,None,['space'],92.86471679992974,92.86471679992974,0.23354286653921008,2.8944258028955048,93.09004680020735,92.86471679992974,[-2.384285899810493],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,2.6608829363562947,time,425.0,-2.9088894283022952,5.38539506215568e-05,0,30,[],0.01092896657064557,None,['space'],95.77268660021946,95.77268660021946,0.22787136677652597,2.8887543031328207,95.99259839998558,95.77268660021946,[-0.8759824000298977],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,2.6608829363562947,time,135.0,1.3931224133268127,0.0007439335702180001,0,31,[],0.010621566791087389,None,['space'],98.6756176003255,98.6756176003255,0.2023418666794896,2.8632248030357843,98.88353209989145,98.6756176003255,[-1.3073280998505652],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.6608829363562947,time,379.0,-8.0,3.264724102951903e-05,0,32,[],0.0109740667976439,None,['space'],101.57219380000606,101.57219380000606,0.22926496667787433,2.890147903034169,101.7911042002961,101.57219380000606,[-1.8591903001070023],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,2.6608829363562947,time,,,,1,32,[],0.011330866254866123,None,['space'],104.47500050021335,104.47500050021335,0.22944656619802117,2.890329502554316,104.69633320020512,104.47500050021335,[-2.194816299714148],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.6608829363562947,time,849.0,-6.209850710456144,1.94518976953276e-05,0,33,[],0.012472766451537609,None,"['space', 'space']",107.37477059988305,107.37477059988305,0.2318096668459475,2.892692603202242,107.59600759996101,107.37477059988305,"[-2.3505946998484433, -0.3260152996517718]",,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,2.6608829363562947,time,535.0,-1.09785569588792,5.815008614734031e-05,0,34,[],0.011073366738855839,None,['space'],110.27944179996848,110.27944179996848,0.20266846707090735,2.863551403427202,110.48247710010037,110.27944179996848,[-0.7188261998817325],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,2.6608829363562947,time,151.0,-1.962786356477132,0.0003918864981766286,0,35,[],0.010971666313707829,None,"['space', 'space']",113.17405149992555,113.17405149992555,0.22847626637667418,2.889359202732969,113.39334949990734,113.17405149992555,"[-2.0775504000484943, -0.31725950026884675]",,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,,123.13031050004065,None,1.4672536054943268,time,6205.0,0.2655412211528667,0.00012942780607624283,0,36,[],0.012925666756927967,None,None,124.14418480033055,None,0.2310441667214036,1.6982977722157304,124.35616340022534,None,,116.07585930032656,None,"[0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333]",,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,1.4672536054943268,time,1163.0,1.2681121253058243,5.886668841032018e-05,0,37,[],0.010535466484725475,None,['space'],125.85502360016108,125.85502360016108,0.2289464664645493,1.6962000719588761,126.07483689999208,125.85502360016108,[-0.9743173997849226],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,1.4672536054943268,time,,,,1,37,[],0.0110641666688025,None,"['space', 'space']",127.56202630000189,127.56202630000189,0.22869116673246026,1.695944772226787,127.78358880011365,127.56202630000189,"[-1.2740388000383973, 0.12748089991509914]",,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,1.4672536054943268,time,4925.0,0.0,0.00014758561655417712,0,38,[],0.01184456655755639,None,['space'],129.27045649988577,129.27045649988577,0.23219526652246714,1.699448872016794,129.4954973999411,129.27045649988577,[0.10680320020765066],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,1.4672536054943268,time,923.0,1.8996709219621675,5.20983379507635e-05,0,39,[],0.010730966459959745,None,None,130.98296210030094,130.98296210030094,0.2285213666036725,1.6957749720979993,131.19582949997857,130.98296210030094,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
2,0,2,0,5,0,5,0,,,,,,,,1.4672536054943268,time,3287.0,-0.9013148485459008,6.438418289813309e-05,0,40,[],0.010607266332954168,None,['space'],132.69496060023084,132.69496060023084,0.22755746636539698,1.6948110718597238,132.91359669994563,132.69496060023084,[-1.1180961998179555],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
2,0,2,0,6,0,6,0,,,,,,,,1.4672536054943268,time,1305.0,0.3007636871571231,5.501617852372541e-05,0,41,[],0.01041296636685729,None,['space'],134.40221370011568,134.40221370011568,0.22814796632155776,1.6954015718158846,134.62433240003884,134.40221370011568,[-1.2893997998908162],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
2,0,2,0,7,0,7,0,,,,,,,,1.4672536054943268,time,1644.0,4.050619014400645,9.363641179850988e-05,0,42,[],0.010364866349846125,None,['space'],136.1110690003261,136.1110690003261,0.22977466648444533,1.6970282719787722,136.33534470014274,136.1110690003261,[-1.310768499970436],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
2,0,2,0,8,0,8,0,,,,,,,,1.4672536054943268,time,2071.0,2.800203292877205,0.00010544402987861936,0,43,[],0.0034035667777061462,None,['space'],137.8249078001827,137.8249078001827,0.21284246677532792,1.6800960722696547,138.04338680021465,137.8249078001827,[-1.3767840000800788],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
2,0,2,0,9,0,9,0,,,,,,,,1.4672536054943268,time,2928.0,-0.36786061173586027,5.683927536640105e-05,0,44,[],0.004835766740143299,None,['space'],139.5386887001805,139.5386887001805,0.21436206670477986,1.6816156721991067,139.7580311000347,139.5386887001805,[-1.3621515999548137],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
3,0,3,0,0,0,0,0,,,,,0.3333333333333333,144.4898192002438,None,2.3162335996391707,frequency,7818.0,0.014509987888892795,0.00017631646890657124,0,36,[],0.012120966333895922,None,None,145.53426870005205,None,0.21941506629809737,2.535648665937268,145.74678210029379,None,,141.24709860002622,None,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
3,0,3,0,1,0,1,0,,,,,,,,2.535256932652259,frequency,6205.0,1.4305131152209283,0.00014800493081162125,0,37,[],0.010136166587471962,None,None,148.08710720017552,148.08710720017552,0.23242736654356122,2.76768429919582,148.31426250003278,148.08710720017552,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
3,0,3,0,2,0,2,0,,,,,,,,2.9864856755531743,frequency,4925.0,0.0,0.00014758561655417712,0,38,[],0.003433666191995144,None,['space'],150.87119919992983,150.87119919992983,0.21617426630109549,3.20265994185427,151.1006231000647,150.87119919992983,[-1.5108046997338533],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
3,0,3,0,3,0,3,0,,,,,,,,1.8853180856303864,frequency,3909.0,-0.6113028682466998,7.674681632591457e-05,0,39,[],0.0029716668650507927,None,['space'],154.10835790028796,154.10835790028796,0.2134625669568777,2.098780652587264,154.33137489994988,154.10835790028796,[-2.716194299980998],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
3,0,3,0,4,0,4,0,,,,,,,,1.3900737556950233,frequency,3103.0,-1.3782097177156962,5.509718244215233e-05,0,40,[],0.01019906671717763,None,['space'],156.23542560031638,156.23542560031638,0.20072946650907397,1.5908032222040973,156.43898180034012,156.23542560031638,[-1.6594334999099374],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
3,0,3,0,5,0,5,0,,,,,,,,1.2622692819594346,frequency,,,,1,40,[],0.005525766406208277,None,['space'],157.85706870025024,157.85706870025024,0.21558356611058116,1.4778528480700157,158.07766250008717,157.85706870025024,[-1.1607441999949515],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
3,0,3,0,6,0,6,0,,,,,,,,2.1040701855437702,frequency,1955.0,2.377718092861507,9.569677844779292e-05,0,41,[],0.011594066862016916,None,None,159.36180180031806,159.36180180031806,0.20653326669707894,2.310603452240849,159.57340699993074,159.36180180031806,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
3,0,3,0,7,0,7,0,,,,,,,,2.1911713432501907,frequency,1552.0,3.199854082416083,7.616689520096281e-05,0,42,[],0.009900067001581192,0.2033503670245409,['space'],161.70724639995024,161.70724639995024,0.2033503670245409,2.3945217102747316,161.91115480009466,161.70724639995024,[-1.8912038998678327],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
3,0,3,0,8,0,8,0,,,,,,,,1.399126551886378,frequency,1232.0,3.6852042209336804,8.216557030355515e-05,0,43,[],0.006537566892802715,None,['space'],164.1302054002881,164.1302054002881,0.21907236659899354,1.6181989184853716,164.35748590016738,164.1302054002881,[-0.7855854998342693],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
3,0,3,0,9,0,9,0,,,,,,,,2.1703347615332937,frequency,978.0,0.8892522265075375,4.8108749741026005e-05,0,44,[],0.00912496680393815,None,['space'],165.78024840028957,165.78024840028957,0.2281297668814659,2.3984645284147597,166.00327689992264,165.78024840028957,[-1.1081767999567091],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
3,0,3,0,10,0,10,0,,,,,,,,2.8843750690178815,frequency,776.0,0.14349457889728973,4.011663047137784e-05,0,45,[],0.008527066558599472,None,['space'],168.20028720004484,168.20028720004484,0.22582096653059125,3.110196035548473,168.42047929996625,168.20028720004484,[-1.951991899870336],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
4,0,4,0,0,0,0,0,,,,,,175.30947380000725,None,1.3614791736757652,none,425.0,-1.4520980261151077,6.368793063647327e-05,0,26,[],0.012412366922944784,None,None,176.33137420006096,None,0.20671106688678265,1.5681902405625479,176.53651629993692,None,,171.32842259993777,None,"[0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666]",,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
4,0,4,0,1,0,1,0,,,,,,,,2.0470621486947946,none,477.0,-2.022317490734724,5.7536032471530184e-05,0,27,[],0.0034296661615371704,None,['space'],177.93117580004036,177.93117580004036,0.21217986615374684,2.2592420148485415,178.15043759997934,177.93117580004036,[-1.193756700027734],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
4,0,4,0,2,0,2,0,,,,,,,,1.782990175227099,none,1134.0,-3.3953219477057317,3.35905267665575e-05,0,28,[],0.00883546657860279,0.20023386646062136,None,180.22813240019605,180.22813240019605,0.20023386646062136,1.9832240416877203,180.43728720024228,180.22813240019605,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
4,0,4,0,3,0,3,0,,,,,,,,2.978026933399872,none,1273.0,-3.832564935147909,3.469511114092976e-05,0,29,[],0.009588767308741808,None,None,182.24172129994258,182.24172129994258,0.20136296702548862,3.1793899004253605,182.44973540026695,182.24172129994258,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
4,0,4,0,4,0,4,0,,,,,,,,1.28343773657891,none,,,,1,29,[],0.009535466320812702,None,None,185.4570130002685,185.4570130002685,0.23074016626924276,1.5141779028481528,185.67976110009477,185.4570130002685,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
4,0,4,0,5,0,5,0,,,,,,,,1.4843077330502414,none,757.0,-2.9704099907363295,2.864408470859264e-05,0,30,[],0.010120866820216179,None,None,186.98565650032833,186.98565650032833,0.22701776679605246,1.711325499846294,187.2062864000909,186.98565650032833,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
4,0,4,0,6,0,6,0,,,,,,,,2.793602244753834,none,379.0,-8.0,3.264724102951903e-05,0,31,[],0.009364767000079155,0.2022903668694198,None,188.71382820000872,188.71382820000872,0.2022903668694198,2.995892611623254,188.9220779002644,188.71382820000872,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
4,0,4,0,7,0,7,0,,,,,,,,2.917788197392369,none,338.0,-7.624974211757757,3.851211086595087e-05,0,32,[],0.0048997667618095875,None,['space'],191.7428132002242,191.7428132002242,0.21753886668011546,3.1353270640724844,191.96510499995202,191.7428132002242,[-1.934661400038749],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
4,0,4,0,8,0,8,0,,,,,,,,1.777665482729649,none,179.0,-2.1560935068494707,0.0002667623864695113,0,33,[],0.009566066786646843,None,None,194.90919060027227,194.90919060027227,0.2007285668514669,1.9783940495811159,195.11524660000578,194.90919060027227,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
4,0,4,0,9,0,9,0,,,,,,,,1.1403052555063533,none,142.0,-1.6865763747934723,0.0004705330628419473,0,34,[],0.009017166215926409,0.20061056641861796,None,196.92449530027807,196.92449530027807,0.20061056641861796,1.3409158219249713,197.1294887000695,196.92449530027807,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
4,0,4,0,10,0,10,0,,,,,,,,1.8049037678006583,none,601.0,-2.1432627796034627,4.351145758765735e-05,0,35,[],0.007847966626286507,None,None,198.29827040014789,198.29827040014789,0.2259806669317186,2.0308844347323767,198.52496600011364,198.29827040014789,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
5,0,5,0,0,0,0,0,,,,,0.5833333333333334,202.9607037003152,None,2.460635524810514,frequency,6061.0,0.703717154766817,0.00012876546313278798,0,46,[],0.012941867113113403,None,None,203.98885730002075,None,0.2110014669597149,2.671636991770229,204.19458180014044,None,,200.34955279994756,None,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
5,0,5,0,1,0,1,0,,,,,,,,1.1344977741331428,frequency,4045.0,-1.9113487057052139,6.984475613601309e-05,0,47,[],0.008999266661703587,None,None,206.68857540003955,206.68857540003955,0.208138566929847,1.3426363410629898,206.89514250028878,206.68857540003955,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
5,0,5,0,2,0,2,0,,,,,,,,2.9396809029883233,frequency,2700.0,-4.00754132962138,4.631419810991971e-05,0,48,[],0.007394166197627783,None,['space'],208.05833180015907,208.05833180015907,0.22455036640167236,3.1642312693899957,208.28109610034153,208.05833180015907,[-0.8896154998801649],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
5,0,5,0,3,0,3,0,,,,,,,,1.8057365977133553,frequency,1802.0,2.7685951420172565,9.059977086102066e-05,0,49,[],0.0065949661657214165,None,"['space', 'space', 'space']",211.2452525999397,211.2452525999397,0.2213227665051818,2.027059364218537,211.466857700143,211.2452525999397,"[-2.732412699609995, -1.3152044997550547, 0.17918730014935136]",,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
5,0,5,0,4,0,4,0,,,,,,,,1.6525891706824973,frequency,1203.0,-4.826645738200142,3.014293034757366e-05,0,50,[],0.008297866210341454,None,None,213.29673220030963,213.29673220030963,0.21510626655071974,1.867695437233217,213.51888999994844,213.29673220030963,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
5,0,5,0,5,0,5,0,,,,,,,,2.654487796959841,frequency,803.0,-2.8475692040506084,2.77048375396093e-05,0,51,[],0.008946566376835108,0.20144336624071002,['space'],215.19269540021196,215.19269540021196,0.20144336624071002,2.855931163200551,215.39541279990226,215.19269540021196,[-0.776303599588573],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
5,0,5,0,6,0,6,0,,,,,,,,1.2722802532494404,frequency,536.0,-7.0,2.940459328001812e-05,0,52,[],0.00899186683818698,None,None,218.07995070004836,218.07995070004836,0.2002905667759478,1.4725708200253882,218.28532860009,218.07995070004836,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
5,0,5,0,7,0,7,0,,,,,,,,2.7988078927220554,frequency,358.0,0.9486947978906146,9.755151881643795e-05,0,53,[],0.00837986683472991,0.2010385668836534,None,219.58860850008205,219.58860850008205,0.2010385668836534,2.999846459605709,219.79495200002566,219.58860850008205,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
5,0,5,0,8,0,8,0,,,,,,,,1.366578736144232,frequency,,,,1,53,[],0.006346966605633497,None,None,222.6247813999653,222.6247813999653,0.22085796669125557,1.5874367028354877,222.85300150001422,222.6247813999653,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
5,0,5,0,9,0,9,0,,,,,,,,2.2807875288748747,frequency,160.0,-5.787614180078371,0.00021114912951169504,0,54,[],0.010362866800278425,None,None,224.23725820006803,224.23725820006803,0.20227546663954854,2.483062995514423,224.44304840033874,224.23725820006803,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
6,0,6,0,0,0,0,0,,,,,0.3333333333333333,228.53720350004733,None,2.7803658910992444,both,1516.0,-1.7797767787791,4.045454819861947e-05,0,26,[],0.012871566694229841,None,None,229.57752400031313,None,0.21063626650720835,2.9910021576064527,229.78913390031084,None,,226.7538036000915,None,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
6,0,6,0,1,0,1,0,,,,,,,,2.7803658910992444,both,1203.0,1.0330427333379602,5.917930950633863e-05,0,27,[],0.008473566267639399,None,None,232.59832550026476,232.59832550026476,0.22439846629276872,3.004764357392013,232.8178634000942,232.59832550026476,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
6,0,6,0,2,0,2,0,,,,,,,,2.7803658910992444,both,955.0,-4.535911399601586,2.53734088978084e-05,0,28,[],0.008582166861742735,None,"['space', 'space']",235.6195757999085,235.6195757999085,0.20014576660469174,2.980511657703936,235.829803599976,235.6195757999085,"[-2.4830431998707354, -0.6509181996807456]",,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
6,0,6,0,3,0,3,0,,,,,,,,2.7803658910992444,both,,,,1,28,[],0.00864256639033556,None,['space'],238.63637580024078,238.63637580024078,0.20238266652449965,2.982748557623744,238.84740310022607,238.63637580024078,[-2.066970099695027],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
