sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_frequency,Audiogram_time,Audiogram_both,Audiogram_none,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,0,10,0,,,,,,,,1.3982480200785377,frequency,223.0,18.261720270111034,0.0018040969369865878,0,35,[],0.011788866657298058,None,['space'],60.708082600001944,60.708082600001944,0.21086176665266976,1.6091097867312074,60.92460369999753,60.708082600001944,[-1.108998800002155],,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,11,0,11,0,,,,,,,,1.117989262275644,frequency,199.0,18.178744335666703,0.002181852632811994,0,36,[],0.010861266651772894,None,None,62.322344699990936,62.322344699990936,0.2069819666503463,1.3249712289259903,62.53445959999226,62.322344699990936,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,12,0,12,0,,,,,,,,2.421801305502145,frequency,177.0,20.56502017621521,0.003726789196819194,0,37,[],0.01179816665535327,None,None,63.65717039999436,63.65717039999436,0.21070576665806584,2.6325070721602106,63.868163799998,63.65717039999436,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,13,0,13,0,,,,,,,,2.7870725004008188,frequency,158.0,21.33568732913104,0.005002276664390414,0,38,[],0.01161166666133795,None,None,66.28786139999283,66.28786139999283,0.21013726665114518,2.997209767051964,66.50608449999709,66.28786139999283,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,14,0,14,0,,,,,,,,1.7890896586273326,frequency,141.0,20.498873962447313,0.006145785953962177,0,39,[],0.0049685666599543765,0.19914606666134205,['space'],69.28346679999959,69.28346679999959,0.19914606666134205,1.9882357252886746,69.49967769999057,69.28346679999959,[-2.484264600003371],,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
1,0,1,0,0,0,0,0,,,,,,74.03785549999157,None,1.2099156703375613,time,,,,1,25,[],0.013356566647416912,None,None,75.07395449999603,None,0.22192886665288825,1.4318445369904496,75.28516089999175,None,,71.28280040000391,None,"[0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333]",,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
1,0,1,0,1,0,1,0,,,,,,,,1.2099156703375613,time,750.0,18.41510435665047,0.0003386298374725139,0,26,[],0.01259236664918717,None,None,76.49319539999124,76.49319539999124,0.24185756665247027,1.4517732369900316,76.72562189999735,76.49319539999124,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
1,0,1,0,2,0,2,0,,,,,,,,1.2099156703375613,time,158.0,18.817037456375473,0.003743132617525849,0,27,[],0.011460266672656871,None,None,77.92920559999766,77.92920559999766,0.21159676666138694,1.4215124369989482,78.1531338999921,77.92920559999766,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
1,0,1,0,3,0,3,0,,,,,,,,1.2099156703375613,time,842.0,19.40428648184353,0.0003693943762295583,0,28,[],0.011322466656565666,None,['space'],79.3565105000016,79.3565105000016,0.20998706665704958,1.419902736994611,79.5619408999919,79.3565105000016,[-0.8451099000085378],,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
1,0,1,0,4,0,4,0,,,,,,,,1.2099156703375613,time,668.0,18.954885393555294,0.0004240975658475742,0,29,[],0.01128116667678114,None,None,80.77457480000157,80.77457480000157,0.21440746667212807,1.4243231370096894,80.98755179998989,80.77457480000157,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
1,0,1,0,5,0,5,0,,,,,,,,1.2099156703375613,time,354.0,18.0,0.0007029517838246072,0,30,[],0.00840386665367987,0.20016136665071826,None,82.19400659999519,82.19400659999519,0.20016136665071826,1.4100770369882796,82.40180449999752,82.19400659999519,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
1,0,1,0,6,0,6,0,,,,,,,,1.2099156703375613,time,530.0,18.92786811127197,0.000590119847398042,0,31,[],0.007626166669069789,0.20055416665854864,['space'],83.61334159999387,83.61334159999387,0.20055416665854864,1.41046983699611,83.8227523999958,83.61334159999387,[-0.7026899999909801],,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
1,0,1,0,7,0,7,0,,,,,,,,1.2099156703375613,time,1337.0,18.672615653515617,0.00044930542187702745,0,32,[],0.011153466650284827,None,None,85.0347929999989,85.0347929999989,0.21231456665555015,1.4222302369931115,85.25032429999555,85.0347929999989,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
1,0,1,0,8,0,8,0,,,,,,,,1.2099156703375613,time,236.0,18.129036017824248,0.001571408137858318,0,33,[],0.011301866645226255,None,None,86.46381210000254,86.46381210000254,0.2099444666528143,1.4198601369903756,86.66977680000127,86.46381210000254,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
1,0,1,0,9,0,9,0,,,,,,,,1.2099156703375613,time,1061.0,18.16913566456024,0.0003774670336625498,0,34,[],0.011213366655283608,None,None,87.88206999999238,87.88206999999238,0.21017706666316371,1.420092737000725,88.09160449999035,87.88206999999238,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
2,0,2,0,0,0,0,0,,,,,0.3333333333333333,91.84789900000033,None,1.192404148428519,both,1416.0,21.243070382716553,0.000581407382568998,0,26,[],0.007525766646722332,0.2009599666489521,None,92.88237690000096,None,0.2009599666489521,1.3933641150774712,93.10098689999722,None,,89.30390509999415,None,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
