sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_frequency,Audiogram_none,Audiogram_both,Audiogram_time,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,2.783398119180113,none,668.0,4.352399725504938,7.894806615882712e-05,0,27,[],0.017380669829435647,None,None,81.01145539991558,81.01145539991558,0.22385096992366016,3.007249089103773,81.23130200000014,81.01145539991558,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.483210836813564,none,1261.0,1.22760928457637,6.246966293199425e-05,0,28,[],0.02169466996565461,None,['space'],84.04317570000421,84.04317570000421,0.22532887000124902,2.708539706814813,84.26073899993207,84.04317570000421,[-2.517243899987079],,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,1.5605343452739127,none,187.0,2.1940203429206515,0.00040267160324955546,0,29,[],0.021015569800511003,None,None,86.76484439999331,86.76484439999331,0.2225854698335752,1.7831198151074878,86.98188239999581,86.76484439999331,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,1.658081774794621,none,397.0,4.6677258449592625,0.00013235863322444465,0,30,[],0.02378536993637681,None,None,88.56564589997288,88.56564589997288,0.23371366993524134,1.8917954447298624,88.7792766999919,88.56564589997288,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,2.3701987984995316,none,236.0,2.5362951992425695,0.00026100688102882573,0,31,[],0.023522569914348423,None,None,90.45888049993664,90.45888049993664,0.23283446987625211,2.6030332683757837,90.67571609991137,90.45888049993664,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.3507743317340504,none,354.0,0.0,8.849638639228378e-05,0,32,[],0.018172669922932982,None,None,93.07195489993319,93.07195489993319,0.22102716995868832,2.5718015016927387,93.29106099996716,93.07195489993319,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,2.3157171112461157,none,595.0,3.4737499721109626,8.446817792119279e-05,0,33,[],0.023465969949029386,None,None,95.67265939991921,95.67265939991921,0.23052756988909096,2.5462446811352066,95.89170689997263,95.67265939991921,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.763669829545776,none,1001.0,2.91796410365386,6.169931889959398e-05,0,34,[],0.023538269917480648,None,None,98.22849659994245,98.22849659994245,0.2314218699466437,2.9950916994924195,98.44424849993084,98.22849659994245,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,2.9712081488916375,none,132.0,1.0736449755819955,0.0007472904415807964,0,35,[],0.02311127004213631,None,['space'],101.23881249991246,101.23881249991246,0.23099327005911618,3.2022014189507537,101.45576669997536,101.23881249991246,[-2.512742899940349],,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,1.2164491241232585,none,1589.0,0.7359591197174584,6.075717884883717e-05,0,36,[],0.01579656999092549,None,None,104.45580039999913,104.45580039999913,0.2199684699298814,1.4364175940531398,104.67582359991502,104.45580039999913,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
1,0,1,0,11,0,11,0,,,,,,,,1.918648454207712,none,,,,1,36,[],0.021972169866785407,None,None,105.91671229992062,105.91671229992062,0.2305983699625358,2.149246824170248,106.13926759990864,105.91671229992062,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,0.3333333333333333,113.13275489991065,None,2.1990989145803836,frequency,4288.0,-7.55617469237887,4.347160625727485e-05,0,34,[],0.024938369868323207,None,None,114.1484793999698,None,0.24661706993356347,2.445715984513947,114.36287469998933,None,,108.08043380000163,None,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,2.977878988919465,frequency,3403.0,0.5250166562598029,7.803764042878003e-05,0,35,[],0.020845370017923415,None,None,116.59060070000123,116.59060070000123,0.23274547001346946,3.2106244589329345,116.80749859998468,116.59060070000123,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
