sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_time,Audiogram_frequency,Audiogram_both,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
2,0,2,0,2,0,2,0,,,,,,,,1.8019566608348325,time,944.0,5.806519988588258,8.285417155975366e-05,0,36,[],0.010849466663785279,None,['space'],128.74188049999066,128.74188049999066,0.21350356662878767,2.0154602274636204,128.95089849998476,128.74188049999066,[-1.5528875999734737],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,1.8019566608348325,time,1588.0,0.6073770859098887,5.977378244936485e-05,0,37,[],0.009873366623651236,None,None,130.78245689999312,130.78245689999312,0.20672526658745483,2.0086819274222876,130.98882700002287,130.78245689999312,,,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,1.8019566608348325,time,5040.0,1.6679096907038073,0.00018329523297739157,0,38,[],0.007693166669923812,None,['space'],132.81874600000447,132.81874600000447,0.20749576669186354,2.0094524275266963,133.03822799999034,132.81874600000447,[-1.4543211999698542],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
2,0,2,0,5,0,5,0,,,,,,,,1.8019566608348325,time,2997.0,8.389524080329394,0.00014451752798848595,0,39,[],0.010753166629001498,None,['space'],134.86065280000912,134.86065280000912,0.21390216663712636,2.015858827471959,135.07974810001906,134.86065280000912,[-1.432419899967499],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
2,0,2,0,6,0,6,0,,,,,,,,1.8019566608348325,time,8000.0,2.0,0.0002285440948074376,0,40,[],0.010722766630351543,None,['space'],136.90025850001257,136.90025850001257,0.2147582666366361,2.016714927471469,137.11682910000673,136.90025850001257,[-1.6798261000076309],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
2,0,2,0,7,0,7,0,,,,,,,,1.8019566608348325,time,6350.0,-0.48955061244545295,0.0001243157481506642,0,41,[],0.010592566628474742,None,['space'],138.9402166000218,138.9402166000218,0.21210746665019542,2.014064127485028,139.15202769997995,138.9402166000218,[-1.7043781999964267],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
2,0,2,0,8,0,8,0,,,,,,,,1.8019566608348325,time,2379.0,2.9391021900788603,0.00011672052299354523,0,42,[],0.010439166682772338,None,['space'],140.9826290999772,140.9826290999772,0.21292676666053012,2.014883427495363,141.19242310000118,140.9826290999772,[-1.7141586000216193],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
3,0,3,0,0,0,0,0,,,,,0.5833333333333334,145.2745062999893,None,2.268130218127993,frequency,4002.0,8.019819122649018,0.00021167636090625917,0,25,[],0.01239166664890945,None,None,146.30590939999092,None,0.21410656662192196,2.482236784749915,146.52762200002326,None,,143.0210927000153,None,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
3,0,3,0,1,0,1,0,,,,,,,,1.5348423727862264,frequency,2671.0,8.636008081614946,0.00020343062683382673,0,26,[],0.006348866620101035,0.20340696664061397,['space'],148.8188498999807,148.8188498999807,0.20340696664061397,1.7382493394268403,149.0341145999846,148.8188498999807,[-2.174907600041479],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
3,0,3,0,2,0,2,0,,,,,,,,2.739535902352117,frequency,1783.0,5.014014284724669,0.00011579895902443844,0,27,[],0.010231666616164148,None,['space'],150.59365689998958,150.59365689998958,0.21362526662414894,2.953161168976266,150.80871890002163,150.59365689998958,[-1.5173330999678],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
