sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Audiogram_frequency,Intervals,Audiogram_none,Audiogram_time,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,8,0,8,0,,,,,,,,1.2186261205038054,frequency,3032.0,-2.0273438566952318,4.5809230375279876e-05,0,42,[],0.011562766652787104,None,['space'],81.51255689997924,81.51255689997924,0.21156396667356603,1.4301900871773714,81.71902950000367,81.51255689997924,[-1.7561030000215396],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,1.9608588613892377,frequency,2701.0,-1.4776416877580698,6.192152179260997e-05,0,43,[],0.011505466653034091,None,['space'],82.97057000000495,82.97057000000495,0.2111813666706439,2.1720402280598816,83.18319489998976,82.97057000000495,[-1.1515379000047687],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,2.4305414497806233,frequency,,,,1,43,[],0.011529166687978432,None,['space'],85.17183069998282,85.17183069998282,0.20980236667674035,2.6403438164573636,85.38450289997854,85.17183069998282,[-1.6719786999747157],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,0.3333333333333333,90.42341849999502,None,2.1756196730642525,frequency,3248.0,-3.198272086042708,4.894952430812481e-05,0,44,[],0.013158066663891077,None,None,91.45762430000468,None,0.2186646666668821,2.3942843397311346,91.66675469998154,None,,87.83622579998337,None,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,1.9133201698097255,frequency,2578.0,-2.7332376995448113,5.9167310880956955e-05,0,45,[],0.009117066685575992,0.20215216669021174,['space'],93.86458399999538,93.86458399999538,0.20215216669021174,2.1154723364999373,94.0714896999998,93.86458399999538,[-1.8209913999889977],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,2.9217351850632016,frequency,2046.0,0.8612955678561165,8.373640188000032e-05,0,46,[],0.011001166683854535,None,['space'],96.01498599999468,96.01498599999468,0.21156436667661183,3.1332995517398134,96.22600169997895,96.01498599999468,[-1.7623988999985158],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,1.667970316037026,frequency,1624.0,-4.5453939512467425,3.427008249649543e-05,0,47,[],0.011156266671605408,None,"['space', 'space']",99.1699479999952,99.1699479999952,0.20933136667008512,1.8773016827071112,99.37899399999878,99.1699479999952,"[-2.789662399998633, -1.0140449999889825]",,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,2.5979000527588947,frequency,1289.0,0.07278997074461768,5.3991554843628845e-05,0,48,[],0.005301566648995504,None,['space'],101.07481989997905,101.07481989997905,0.19664146666764282,2.7945415194265375,101.28714199998649,101.07481989997905,[-0.4702343000099063],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
2,0,2,0,5,0,5,0,,,,,,,,1.910987104951075,frequency,1023.0,-2.2425215815890964,3.477170912122844e-05,0,49,[],0.003883066645357758,0.19270486664026976,['space'],103.91473540000152,103.91473540000152,0.19270486664026976,2.1036919715913447,104.12556939999922,103.91473540000152,[-1.4230245999933686],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
2,0,2,0,6,0,6,0,,,,,,,,1.61310753775775,frequency,812.0,-5.0,2.1767747183319346e-05,0,50,[],0.011031066649593413,None,['space'],106.05986839998513,106.05986839998513,0.21038346664863639,1.8234910044063863,106.27226759999758,106.05986839998513,[-1.74399629997788],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
