sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,Intervals,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,1.3104029004385767,both,354.0,-1.0,7.887248739356936e-05,0,27,[],0.011675566696794704,None,None,78.94372690000455,78.94372690000455,0.21027416668948717,1.5206770671280638,79.15359020000324,78.94372690000455,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,1.3104029004385767,both,530.0,-0.5719256986365036,6.251014854601376e-05,0,28,[],0.011888566659763455,None,None,80.49389309997787,80.49389309997787,0.21078886665054597,1.5211917670891226,80.70424979997915,80.49389309997787,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,1.3104029004385767,both,794.0,-1.2661721198900957,3.3399387259858495e-05,0,29,[],0.003968966659158468,0.1923701666528359,None,82.0450338999799,82.0450338999799,0.1923701666528359,1.5027730670914126,82.2436017,82.0450338999799,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,1.3104029004385767,both,1190.0,-0.5715768407373996,4.868791057671486e-05,0,30,[],0.011689766688505188,None,None,83.58303879998857,83.58303879998857,0.22141416667727754,1.5318170671158542,83.80824980000034,83.58303879998857,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,1.3104029004385767,both,,,,1,30,[],0.011802966677350923,None,None,85.13572089999798,85.13572089999798,0.2149511666793842,1.5253540671179608,85.34741940000094,85.13572089999798,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,1.3104029004385767,both,2671.0,-3.583153594432271,4.982625582391765e-05,0,31,[],0.01289996667765081,0.21119066668325104,None,86.68136269997922,86.68136269997922,0.21119066668325104,1.5215935671218277,86.88902390000294,86.68136269997922,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,1.3104029004385767,both,4002.0,-6.507956370032817,3.974509926394498e-05,0,32,[],0.011620166682405397,None,None,88.22144279998611,88.22144279998611,0.21016266668448225,1.520565567123059,88.4351844000048,88.22144279998611,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,0.3333333333333333,91.86725109998952,None,1.937857978659626,frequency,832.0,-6.9492745910930065,1.764740777035998e-05,0,34,[],0.012804166675778106,None,None,92.90366149999318,None,0.21304536669049412,2.15090334535012,93.11884079998708,None,89.77255559997866,None,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,1.7984182340351682,frequency,1048.0,-6.442225597285582,2.1938858475179747e-05,0,35,[],0.011114366701804101,0.20761616667732596,None,95.08386719998089,95.08386719998089,0.20761616667732596,2.006034400712494,95.29026929999236,95.08386719998089,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,2.0923687031366445,frequency,1320.0,-5.567729571384319,2.779788533071983e-05,0,36,[],0.01135916670318693,None,None,97.1115531999967,97.1115531999967,0.21006846669479273,2.302437169831437,97.32681279999088,97.1115531999967,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
