sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,,Audiogram_both,Audiogram_none,Audiogram_time,Audiogram_frequency,participant,session,language (english or french),date,expName,psychopyVersion,frameRate,
1,0,1,0,2,0,2,0,,,,,,,,2.1421631105011296,time,329.87697769322364,8.0,0.0002380236949658044,0,29,[],0.02335262973792851,None,None,95.66742579988204,95.66742579988204,0.23153532994911075,2.3736984404502404,95.88702489994466,95.66742579988204,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
1,0,1,0,3,0,3,0,,,,,,,,2.1421631105011296,time,370.27438807164117,7.8416273100603195,0.00020785554795363142,0,30,[],0.02353192982263863,None,['space'],98.0247231000103,98.0247231000103,0.2328020299319178,2.3749651404330474,98.23833559988998,98.0247231000103,[-1.3577948999591172],,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
1,0,1,0,4,0,4,0,,,,,,,,2.1421631105011296,time,261.8235307051567,6.186632016114213,0.00031589455659982953,0,31,[],0.023287429939955473,None,None,100.37482559983619,100.37482559983619,0.2322690300643444,2.374432140565474,100.59253240004182,100.37482559983619,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
1,0,1,0,5,0,5,0,,,,,,,,2.1421631105011296,time,155.68120279485288,5.641781158797992,0.0008607700273376835,0,32,[],0.018612929852679372,None,None,102.72188430000097,102.72188430000097,0.21670183003880084,2.3588649405399305,102.9415919999592,102.72188430000097,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
1,0,1,0,6,0,6,0,,,,,,,,2.1421631105011296,time,,,,1,32,[],0.023516630055382848,None,None,105.0830091999378,105.0830091999378,0.23125032987445593,2.3734134403755855,105.29929520003498,105.0830091999378,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
1,0,1,0,7,0,7,0,,,,,,,,2.1421631105011296,time,1047.2941228206269,5.203530254493128,8.37960109225068e-05,0,33,[],0.02452853019349277,None,None,107.43407629989088,107.43407629989088,0.22639763029292226,2.368560740794052,107.64559450000525,107.43407629989088,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
2,0,2,0,0,0,0,0,,,,,,110.76652259984985,None,1.1874082420376273,frequency,185.13719403582053,7.016690288370151,0.0007168091576172558,0,27,[],0.02457652986049652,None,None,111.80975240003318,None,0.2416818297933787,1.429090071831006,112.0310235999059,None,,0.16666666666666666,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
2,0,2,0,1,0,1,0,,,,,,,,2.0526916817412753,frequency,207.80947403569695,6.935182685294677,0.0005558347752167174,0,28,[],0.022732829907909036,None,None,113.20718829985708,113.20718829985708,0.228937029838562,2.2816287115798373,113.41934889997356,113.20718829985708,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
2,0,2,0,2,0,2,0,,,,,,,,2.9786972558447147,frequency,233.25824788420186,7.298176293523894,0.00046403729779684983,0,29,[],0.023195429937914014,None,None,115.47256239992566,115.47256239992566,0.2307288299780339,3.2094260858227486,115.68736279988661,115.47256239992566,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
2,0,2,0,3,0,3,0,,,,,,,,1.387720010238317,frequency,261.8235307051567,6.8574307770028415,0.0003412574021744947,0,30,[],0.02289853012189269,None,['space'],118.66114600002766,118.66114600002766,0.2292761302087456,1.6169961404470625,118.87711289990693,118.66114600002766,[-2.746062000049278],,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
2,0,2,0,4,0,4,0,,,,,,,,2.4437751062620583,frequency,293.8869765709022,6.994830851565061,0.0002706982839461124,0,31,[],0.022958130110055208,None,None,120.26176929986104,120.26176929986104,0.23164222994819283,2.675417336210251,120.4776075000409,120.26176929986104,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
