sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,11,0,11,0,,,,,,,,1.044382555124073,frequency,535.0,-3.3541449602747435,4.484725843215159e-05,0,37,[],0.022196670062839985,None,None,72.15826039994135,72.15826039994135,0.227100370102562,1.271482925226635,72.37795919994824,72.15826039994135,,,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,12,0,12,0,,,,,,,,2.9527160267483317,frequency,,,,1,37,[],0.025510570034384727,None,['space'],73.45066279999446,73.45066279999446,0.23239707003813237,3.185113096786464,73.66203549993224,73.45066279999446,[-0.7571373999817297],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,13,0,13,0,,,,,,,,1.5316943200138124,frequency,675.0,-2.4361136257653224,3.5670262448086384e-05,0,38,[],0.02643957012332976,None,None,76.63586479995865,76.63586479995865,0.2334642701316625,1.765158590145475,76.85364360001404,76.63586479995865,,,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,14,0,14,0,,,,,,,,2.64865744236928,frequency,758.0,-6.377076858358929,1.932909913306589e-05,0,39,[],0.0252505699172616,None,None,78.40764429990668,78.40764429990668,0.23259317001793534,2.8812506123872152,78.62237270001788,78.40764429990668,,,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,0.16666666666666666,112.66589810000733,None,2.8438443744428037,frequency,1954.0,2.683471618339039,9.906391139701323e-05,0,40,[],0.026604369981214404,None,None,113.68011839990504,None,0.23218117002397776,3.0760255444667814,113.89079380000476,None,,81.2934721999336,None,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,1.0980824638078988,frequency,2193.0,1.1007370246521155,8.977569832892554e-05,0,41,[],0.016874970053322613,None,['space'],116.75814149994403,116.75814149994403,0.21329127007629722,1.311373733884196,116.97572260000743,116.75814149994403,[-0.19932749995496124],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,1.1408665795715778,frequency,2462.0,-0.35418736364944947,8.165458767217077e-05,0,42,[],0.024737170082516968,None,['space'],118.10370999993756,118.10370999993756,0.2331821700790897,1.3740487496506675,118.32519599993248,118.10370999993756,[-0.6260290999198332],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,2.5508399018175734,frequency,2764.0,-0.03416180530861612,6.921689461471531e-05,0,43,[],0.02484616998117417,None,['space'],119.4868183999788,119.4868183999788,0.23206646996550262,2.782906371783076,119.69985709991306,119.4868183999788,[-0.9608687000581995],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,1.7158197019622667,frequency,3103.0,-1.1931416906783954,5.6283719739391793e-05,0,44,[],0.025029269978404045,None,['space'],122.27559169998858,122.27559169998858,0.22963886999059469,1.9454585719528614,122.4937131999759,122.27559169998858,[-2.4211219999706373],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,2.888219826307531,frequency,,,,1,44,[],0.018265870166942477,None,['space'],124.23052709992044,124.23052709992044,0.2187253701267764,3.1069451964343076,124.45065649994649,124.23052709992044,[-1.5043251999886706],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.6526890919931168,frequency,3909.0,0.47194883625076445,8.69406642491357e-05,0,45,[],0.023043769993819296,None,['space'],127.36525059991982,127.36525059991982,0.22154757007956505,2.874236662072682,127.5862010999117,127.36525059991982,[-0.6545132999308407],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,1.9019631191798085,frequency,4388.0,-0.8441754996592366,0.00010039015292329976,0,46,[],0.024793970049358904,None,['space'],130.26677079999354,130.26677079999354,0.2298230699962005,2.131786189176009,130.48173989995848,130.26677079999354,[-2.436923100030981],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.3689075967239983,frequency,4925.0,1.0,0.0001655937853633201,0,47,[],0.024734069942496717,None,['space'],132.40243389992975,132.40243389992975,0.22969566995743662,2.598603266681435,132.61909829999786,132.40243389992975,[-1.7645868000108749],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,2.5830419232799517,frequency,5528.0,1.0,0.00014953741009252546,0,48,[],0.017239370150491595,0.21463557006791234,['space'],135.00997639994603,135.00997639994603,0.21463557006791234,2.797677493347864,135.22698689997196,135.00997639994603,[-2.2042377999750897],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,2.9601737820888863,frequency,6205.0,1.2317254166609637,0.0001446561157161856,0,49,[],0.024555770098231733,None,['space'],137.83996899996419,137.83996899996419,0.23152837005909532,3.1917021521479816,138.05879309994634,137.83996899996419,[-2.3540260000154376],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,11,0,11,0,,,,,,,,2.7229404284772585,frequency,6965.0,1.0711103021830013,0.0001698737582265305,0,50,[],0.024410770158283412,None,['space'],141.03942950000055,141.03942950000055,0.23634907009545714,2.9592894985727156,141.25916309992317,141.03942950000055,[-2.7857449000002816],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
1,0,1,0,12,0,12,0,,,,,,,,1.9981488553319713,frequency,7818.0,2.3638993518694313,0.00023107999412806223,0,51,[],0.02445397002156824,None,None,144.0034236999927,144.0034236999927,0.22988286998588592,2.228031725317857,144.2220924999565,144.0034236999927,,,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,,147.8140587999951,None,1.8510333060858668,time,1202.0,2.458919866658995,6.968156443280521e-05,0,26,[],0.02636247011832893,None,None,148.82432519993745,None,0.22396247007418424,2.0749957761600513,149.03346870001405,None,,146.24043040000834,None,"[0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334]",moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
