sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_frequency,Audiogram_both,Audiogram_none,Audiogram_time,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,0,10,0,,,,,,,,2.4987480748966138,both,446.0,1.0062887323730214,8.331847260307102e-05,0,37,[],0.022529289941303432,None,['space'],79.98611430008896,79.98611430008896,0.22487908997572958,2.7236271648723434,80.19899210007861,79.98611430008896,[-2.3547202000627294],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,11,0,11,0,,,,,,,,2.4987480748966138,both,501.0,4.230850000759796,0.00011602809991258916,0,38,[],0.022524089901708066,None,['space'],82.69199169997592,82.69199169997592,0.22718958999030292,2.7259376648869167,82.90277400007471,82.69199169997592,[-2.4681432000361383],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,12,0,12,0,,,,,,,,2.4987480748966138,both,562.0,1.1215079212571417,7.028648155239037e-05,0,39,[],0.01559769012965262,0.21046269009821117,['space'],85.4028994999826,85.4028994999826,0.21046269009821117,2.709210764994825,85.62022350006737,85.4028994999826,[-2.4604182000039145],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,13,0,13,0,,,,,,,,2.4987480748966138,both,,,,1,39,[],0.022510090027935803,None,['space'],88.11205850006081,88.11205850006081,0.2256112900795415,2.7243593649761553,88.3323226000648,88.11205850006081,[-2.304707400035113],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,14,0,14,0,,,,,,,,2.4987480748966138,both,708.0,-0.7058097518136253,4.086528433425848e-05,0,40,[],0.02255778992548585,None,['space'],90.82149840006605,90.82149840006605,0.2231837899889797,2.7219318648855935,91.03827770007774,90.82149840006605,[-2.197924099978991],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
1,0,1,0,0,0,0,0,,,,,0.5833333333333334,96.99124930007383,None,1.0212225814792948,both,145.0,-0.6208088514187993,0.0005070933110107991,0,41,[],0.02270148997195065,None,None,98.00824310001917,None,0.24535699002444744,1.2665795715037422,98.23326980008278,None,,93.53113910008688,None,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
1,0,1,0,1,0,1,0,,,,,,,,1.0212225814792948,both,218.0,-1.5618053408510502,0.00019229645731066156,0,42,[],0.021884389920160174,None,None,99.24087179999333,99.24087179999333,0.22461228992324322,1.245834871402538,99.45240539999213,99.24087179999333,,,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
1,0,1,0,2,0,2,0,,,,,,,,1.0212225814792948,both,326.0,3.161533400427418,0.00013781150299072413,0,43,[],0.02231519005727023,None,['space'],100.47617450007237,100.47617450007237,0.23420199006795883,1.2554245715472536,100.6890837000683,100.47617450007237,[-0.5083874000702053],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
1,0,1,0,3,0,3,0,,,,,,,,1.0212225814792948,both,489.0,-0.15430029854128513,7.073889447065118e-05,0,44,[],0.01742378994822502,None,['space'],101.70160720008425,101.70160720008425,0.2141733899479732,1.235395971427268,101.9176725000143,101.70160720008425,[-0.5668919000308961],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
1,0,1,0,4,0,4,0,,,,,,,,1.0212225814792948,both,732.0,-1.717689053465014,3.4644453782968865e-05,0,45,[],0.022093790001235902,None,['space'],102.94058110006154,102.94058110006154,0.22285349003504962,1.2440760715143444,103.1556314000627,102.94058110006154,[-0.7977093000663444],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
