sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_frequency,Audiogram_none,Audiogram_both,Audiogram_time,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
2,0,2,0,5,0,5,0,,,,,,,,1.980987411484799,time,203.0,14.0,0.0013009048986491172,0,40,[],0.010650666666151665,None,None,133.29748000000018,133.29748000000018,0.22383596666622907,2.204823378151028,133.51578719999998,133.29748000000018,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
2,0,2,0,6,0,6,0,,,,,,,,1.980987411484799,time,1026.0,11.664828703531661,0.0001729029877864031,0,41,[],0.010604566666188475,None,None,135.48894349999955,135.48894349999955,0.21897476666617877,2.1999621781509777,135.7020235,135.48894349999955,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
2,0,2,0,7,0,7,0,,,,,,,,1.980987411484799,time,646.0,15.767224996606824,0.00030567174261028856,0,42,[],0.010743066665781953,None,['space'],137.67889659999946,137.67889659999946,0.22674556666606804,2.207732978150867,137.89860709999994,137.67889659999946,[-0.3902533000000403],,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
2,0,2,0,8,0,8,0,,,,,,,,1.980987411484799,time,384.0,22.518425025625454,0.0010785454855519055,0,43,[],0.010208566665824037,None,None,139.8677103,139.8677103,0.2230220666660898,2.2040094781508888,140.0881634999996,139.8677103,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
3,0,3,0,0,0,0,0,,,,,"[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334]",146.25415629999952,None,1.6645299754915457,time,870.0,2.616577781444933,5.4544913862251076e-05,0,44,[],0.01265976666672941,None,None,147.2801902000001,None,0.2075171666674578,1.8720471421590035,147.48576890000004,None,,142.06595729999935,None,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
3,0,3,0,1,0,1,0,,,,,,,,1.6645299754915457,time,7818.0,7.9293875171815,0.00043856781397288904,0,45,[],0.009235266666109965,None,None,149.15186170000015,149.15186170000015,0.22157476666598086,1.8861047421575265,149.3683431999998,149.15186170000015,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
3,0,3,0,2,0,2,0,,,,,,,,1.6645299754915457,time,1464.0,4.708496749783683,8.459746147949633e-05,0,46,[],0.0031388666666316567,None,None,151.02943789999972,151.02943789999972,0.2064175666664596,1.8709475421580053,151.24784379999983,151.02943789999972,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
3,0,3,0,3,0,3,0,,,,,,,,1.6645299754915457,time,775.0,13.634751548115545,0.0001898398781131693,0,47,[],0.008372966666684079,None,None,152.91040239999984,152.91040239999984,0.2203394666667009,1.8848694421582466,153.1262474999994,152.91040239999984,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
3,0,3,0,4,0,4,0,,,,,,,,1.6645299754915457,time,,,,1,47,[],0.008723166665731696,None,None,154.79415169999993,154.79415169999993,0.2214907666657382,1.8860207421572839,155.01122119999945,154.79415169999993,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
3,0,3,0,5,0,5,0,,,,,,,,1.6645299754915457,time,6205.0,3.677935290555215,0.00019171111496969366,0,48,[],0.007238066666104714,None,None,156.6677450999996,156.6677450999996,0.21207986666649958,1.8766098421580453,156.88778619999994,156.6677450999996,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
3,0,3,0,6,0,6,0,,,,,,,,1.6645299754915457,time,977.0,10.955698130800062,0.00015320115491922927,0,49,[],0.009960966665857995,None,None,158.55224550000003,158.55224550000003,0.227703966666013,1.8922339421575587,158.7705329999999,158.55224550000003,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
3,0,3,0,7,0,7,0,,,,,,,,1.6645299754915457,time,3287.0,3.888049872308925,0.00011174997237942624,0,50,[],0.010002966666434077,None,None,160.4281745999997,160.4281745999997,0.22023416666615958,1.8847641421577053,160.6523460999997,160.4281745999997,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
3,0,3,0,8,0,8,0,,,,,,,,1.6645299754915457,time,548.0,19.325976233268293,0.000591813303631094,0,51,[],0.0055682666670691106,None,['space'],162.30523899999935,162.30523899999935,0.20905266666704847,1.8735826421585942,162.52691129999948,162.30523899999935,[-1.6249022000001787],,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
3,0,3,0,9,0,9,0,,,,,,,,1.6645299754915457,time,4925.0,2.0,0.00018579928309536353,0,52,[],0.008822966666230059,None,None,164.18930459999956,164.18930459999956,0.21968586666571355,1.8842158421572592,164.41079319999972,164.18930459999956,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
3,0,3,0,10,0,10,0,,,,,,,,1.6645299754915457,time,690.0,9.328348868985543,0.00013435670457299074,0,53,[],0.008657366666739108,None,None,166.07486960000006,166.07486960000006,0.2298297666666258,1.8943597421581715,166.29542760000004,166.07486960000006,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
4,0,4,0,0,0,0,0,,,,,,175.67531770000005,None,2.1195370517470966,both,1411.0,9.901250632218686,0.00015792764068395915,0,56,[],0.01265166666598816,None,None,176.7112446000001,None,0.22776546666591457,2.347302518413011,176.93140529999982,None,,167.95326789999945,None,0.5833333333333334,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
4,0,4,0,1,0,1,0,,,,,,,,2.1195370517470966,both,942.0,10.794416851881913,0.00014693573463250525,0,57,[],0.009701266666525044,None,['space'],179.04353720000017,179.04353720000017,0.21837966666680586,2.3379167184139025,179.25570189999962,179.04353720000017,[-1.25854580000032],,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
4,0,4,0,2,0,2,0,,,,,,,,2.1195370517470966,both,629.0,11.275997116054787,0.00018797149865138808,0,58,[],0.00941676666661806,None,None,181.37301899999966,181.37301899999966,0.21429956666634098,2.3338366184134376,181.59043829999973,181.37301899999966,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
4,0,4,0,3,0,3,0,,,,,,,,2.1195370517470966,both,420.0,10.10266560229338,0.00024169450866754201,0,59,[],0.009736066666846455,None,None,183.7030175,183.7030175,0.2241545666665843,2.343691618413681,183.92126469999948,183.7030175,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
4,0,4,0,4,0,4,0,,,,,,,,2.1195370517470966,both,280.0,11.669333401283884,0.0005200534237053973,0,60,[],0.0009423666660950403,None,None,186.03529509999953,186.03529509999953,0.20316196666590258,2.322699018412999,186.2564113999997,186.03529509999953,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
4,0,4,0,5,0,5,0,,,,,,,,2.1195370517470966,both,187.0,7.085041238455329,0.0007071345363470506,0,61,[],0.009201966666296357,None,None,188.36994210000012,188.36994210000012,0.22108336666678952,2.340620418413886,188.5848721000002,188.36994210000012,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
4,0,4,0,6,0,6,0,,,,,,,,2.1195370517470966,both,125.0,7.0,0.0016179682846481417,0,62,[],0.007978866666235263,None,None,190.70038059999933,190.70038059999933,0.21141966666618828,2.330956718413285,190.9210876999996,190.70038059999933,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
