sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,participant,session,language (english or french),date,expName,psychopyVersion,frameRate,
1,0,1,0,2,0,2,0,,,,,,,,1.9688813758478196,none,333.7099635425086,22.34330012592502,0.0012280060149853882,0,28,[],0.02186561000007714,None,['space'],62.228792800000065,62.228792800000065,0.22290690999989238,2.191788285847712,62.442039099999874,62.228792800000065,[-1.3941482999998698],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
1,0,1,0,3,0,3,0,,,,,,,,2.5550810174443037,none,,,,1,28,[],0.022096410000358446,None,['space'],64.4119297000002,64.4119297000002,0.22427211000012903,2.7793531274444327,64.63331220000009,64.4119297000002,[-1.7372113000001264],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
1,0,1,0,4,0,4,0,,,,,,,,1.4847805174060493,none,529.7315471796477,19.0041883575945,0.0005957013213149886,0,29,[],0.02277421000007962,None,['space'],67.17724520000002,67.17724520000002,0.22874391000004834,1.7135244274060977,67.40194049999991,67.17724520000002,[-2.422736000000441],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
1,0,1,0,5,0,5,0,,,,,,,,1.452862320562119,none,176.7766952966369,19.0,0.003119565241000184,0,30,[],0.02165640999965035,0.2186716099995465,['space'],68.87591169999996,68.87591169999996,0.2186716099995465,1.6715339305616654,69.08033729999988,68.87591169999996,[-1.144944199999827],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
1,0,1,0,6,0,6,0,,,,,,,,2.7370548360722426,none,793.7005259840998,16.834826808369712,0.00026849825117078853,0,31,[],0.021786510000310955,None,['space'],70.53398509999988,70.53398509999988,0.22377740999991147,2.960832246072154,70.74810160000015,70.53398509999988,[-1.2193700000002536],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
1,0,1,0,7,0,7,0,,,,,,,,2.080410956199032,none,420.4482076268573,20.076062060454806,0.0007617367438954976,0,32,[],0.021733710000262363,None,"['space', 'space']",73.47863460000008,73.47863460000008,0.22244460999991134,2.3028555661989434,73.6903225000001,73.47863460000008,"[-2.467382400000133, -0.33954640000001746]",,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
1,0,1,0,8,0,8,0,,,,,,,,1.9216572456291523,none,471.9371563408468,19.309953528563838,0.0006731282312100123,0,33,[],0.021663510000053066,None,None,75.7711392000001,75.7711392000001,0.2244698099998459,2.146127055628998,75.98716990000003,75.7711392000001,,,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,0,0,0,0,,,,,0.3333333333333333,81.70017210000015,None,1.1102427009374767,both,4287.093850145177,34.70294812433198,0.005635088966270037,0,33,[],0.022965409999869735,None,None,82.72419910000008,None,0.2268288099999154,1.337071510937392,82.93628820000004,None,,77.9020703000001,None,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,1,0,1,0,,,,,,,,1.1102427009374767,both,3402.6686438034267,20.16315088079977,0.0007484735394772355,0,34,[],0.0210681100002148,None,['space'],84.04240739999977,84.04240739999977,0.21807641000032163,1.3283191109377983,84.24998079999978,84.04240739999977,[-0.6795894000001681],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,2,0,2,0,,,,,,,,1.1102427009374767,both,2700.699892336383,20.924541932750437,0.0008166973141841514,0,35,[],0.013959810000415018,0.20392711000022246,['space'],85.36611929999981,85.36611929999981,0.20392711000022246,1.3141698109376991,85.5784122,85.36611929999981,[-0.8354631000001973],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
