practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.rt,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,3249.0095854249403,-3.0,5.0092288148172966e-05,False,0.0014422333042602986,0.18942023330600932,['space'],1,[0.6675196999858599],305.8892541999812,306.90105649997713,None,1,306.90105649997713,305.8892541999812,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,406.12619817811805,7.0,0.00017068310902242423,False,0.00031599996145814657,None,['space'],1,[0.5304571999877226],310.26727609999944,311.27272229999653,None,1,311.27272229999653,310.26727609999944,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,125.0,5.0,0.0012851978913844323,False,0.01103113332646899,None,None,0,,315.3948783999949,316.40434879998793,None,1,316.40434879998793,315.3948783999949,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,203.0630990890589,7.0,0.000580816115511409,False,0.00436276663094759,None,['space'],1,[0.5366473000030965],320.35672219999833,321.37058959997375,None,1,321.37058959997375,320.35672219999833,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,1071.7734625362941,-3.0,3.331204989063927e-05,False,0.011381899967091158,None,None,0,,325.116226299986,326.1211831999826,None,1,326.1211831999826,325.116226299986,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.01594553331960924,None,None,0,,328.37614699997357,329.3908964000002,None,1,329.3908964000002,328.37614699997357,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,8000.0,-6.0,9.098504293049921e-05,False,0.007202233304269612,None,None,0,,331.98293819997343,332.9938955999969,None,1,332.9938955999969,331.98293819997343,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,2462.2888266898335,-6.0,4.263071819771228e-05,False,0.015672366658691317,None,None,0,,336.48478049997357,337.4909289999923,None,1,337.4909289999923,336.48478049997357,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,267.9433656340732,5.0,0.00026402711396027797,False,0.015056699980050325,None,None,0,,341.4497356999782,342.4799357999873,None,1,342.4799357999873,341.4497356999782,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.01275563330273144,None,None,0,,344.03285269998014,345.0427643999865,None,1,345.0427643999865,344.03285269998014,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
