sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,0,10,0,,,,,,,,2.255798592179305,time,1891.0,-0.8374622972328547,6.346620233078866e-05,0,36,[],0.023694300092756748,None,None,103.63063520006835,103.63063520006835,0.2301966999657452,2.4859952921450503,103.83989479998127,103.63063520006835,,,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
1,0,1,0,0,0,0,0,,,,,"[0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333]",109.56574840005487,None,1.2409565055776204,none,,,,1,26,[],0.0249373996630311,None,None,110.59761120006442,None,0.2204703998286277,1.461426905406248,110.80736630014144,None,,106.09297530003823,None,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
1,0,1,0,1,0,1,0,,,,,,,,2.2412441957101956,none,1498.0,-0.13213812426194949,4.7622184080472666e-05,0,27,[],0.01947369985282421,None,None,112.03416649997234,112.03416649997234,0.2149113998748362,2.456155595585032,112.25280979997478,112.03416649997234,,,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
1,0,1,0,2,0,2,0,,,,,,,,1.342309783693364,none,1887.0,0.9053503770292626,7.736764437302779e-05,0,28,[],0.023489699931815267,None,None,114.49044930003583,114.49044930003583,0.2287769999820739,1.5710867836754379,114.70768320001662,114.49044930003583,,,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
1,0,1,0,3,0,3,0,,,,,,,,2.732797904803308,none,530.0,-1.4932037805292908,5.62194544395557e-05,0,29,[],0.02221909980289638,None,['space'],116.03689280012622,116.03689280012622,0.2206230997107923,2.9534210045141003,116.24862399999984,116.03689280012622,[-1.2082962999120355],,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
1,0,1,0,4,0,4,0,,,,,,,,1.383674443550851,none,2377.0,-0.29528155656028776,8.038899351472468e-05,0,30,[],0.02346699987538159,None,['space'],118.98127450002357,118.98127450002357,0.22934299986809492,1.613017443418946,119.19646669994108,118.98127450002357,[-2.2812432998325676],,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
1,0,1,0,5,0,5,0,,,,,,,,2.6922761104096224,none,187.0,-1.3074521712378386,0.00026907749638055444,0,31,[],0.0226906999014318,None,['space'],120.58012810000218,120.58012810000218,0.224623299902305,2.9168994103119275,120.79506150004454,120.58012810000218,[-1.2071249999571592],,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
1,0,1,0,6,0,6,0,,,,,,,,2.7829581521511493,none,236.0,-1.0555463123047961,0.0001726075870373577,0,32,[],0.023004400078207254,None,['space'],123.4774021001067,123.4774021001067,0.2285913999658078,3.011549552116957,123.68940240005031,123.4774021001067,[-2.4084247001446784],,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
1,0,1,0,7,0,7,0,,,,,,,,2.7629533639483967,none,125.0,-0.653465268534599,0.0006703424786802114,0,33,[],0.021012499928474426,0.21713200001977384,['space'],126.4641712999437,126.4641712999437,0.21713200001977384,2.9800853639681706,126.67660470004193,126.4641712999437,[-2.5476510000880808],,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
1,0,1,0,8,0,8,0,,,,,,,,1.9641503389511055,none,354.0,-1.0,7.887248739356936e-05,0,34,[],0.01616279990412295,0.2085790999699384,['space'],129.4393955001142,129.4393955001142,0.2085790999699384,2.172729438921044,129.6549887000583,129.4393955001142,[-2.4986294000409544],,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
1,0,1,0,9,0,9,0,,,,,,,,1.0795286359769622,none,794.0,-1.02613656954489,3.433525498052602e-05,0,35,[],0.015908499946817756,0.20866820006631315,None,131.6092759000603,131.6092759000603,0.20866820006631315,1.2881968360432754,131.82338259997778,131.6092759000603,,,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
