sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,,,,,"[0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333]",104.78532110000378,None,2.6751447275253275,time,595.0,-3.448968908849062,3.806774767323697e-05,0,25,[],0.01307036669459194,None,None,105.81891539998469,None,0.23677666668663733,2.911921394211965,106.04342110001016,None,,103.06112779999967,None,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,2.6751447275253275,time,945.0,-1.2222639685176793,3.691184778674586e-05,0,26,[],0.01044776669004932,None,None,108.74476279999362,108.74476279999362,0.21387906666495837,2.889023794190286,108.96336870000232,108.74476279999362,,,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.6751447275253275,time,125.0,-0.9073856498913973,0.0006510295805111134,0,27,[],0.01156486666877754,None,['space'],111.66187700000592,111.66187700000592,0.21631096667260863,2.891455694197936,111.86980610000319,111.66187700000592,[-2.489263600000413],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,2.6751447275253275,time,750.0,-1.5946751779962218,3.3824878512682096e-05,0,28,[],0.011346166662406176,None,['space'],114.57228029999533,114.57228029999533,0.21650946667068638,2.891654194196014,114.79284780001035,114.57228029999533,[-2.495962099987082],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,2.6751447275253275,time,177.0,-0.5615089105783149,0.0003273470063341583,0,29,[],0.011011566675733775,None,['space'],117.49168879998615,117.49168879998615,0.2182804666517768,2.8934251941771043,117.71270609999192,117.49168879998615,[-2.615275499993004],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,2.6751447275253275,time,,,,1,29,[],0.011293166666291654,None,['space'],120.41133470000932,120.41133470000932,0.2123735666682478,2.8875182941935753,120.62552080000751,120.41133470000932,[-2.645926099998178],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.6751447275253275,time,223.0,-0.9198395879922844,0.0001982357034497969,0,30,[],0.012589366640895605,None,None,123.32911689998582,123.32911689998582,0.21507686664699577,2.8902215941723233,123.54002449999098,123.32911689998582,,,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,2.6751447275253275,time,281.0,0.5620985924963195,0.00014364231391222903,0,31,[],0.007094766653608531,0.2026218666578643,['space'],126.23611140000867,126.23611140000867,0.2026218666578643,2.877766594183192,126.45051150000654,126.23611140000867,[-2.5353019000031054],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.6751447275253275,time,354.0,-1.0,7.887248739356936e-05,0,32,[],0.011100766656454653,None,['space'],129.1490009999834,129.1490009999834,0.2122709666728042,2.8874156941981317,129.36429739999585,129.1490009999834,[-2.511567399982596],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,2.6751447275253275,time,668.0,-1.282366774358179,4.126702597956857e-05,0,33,[],0.0111485667002853,None,['space'],132.0712746999925,132.0712746999925,0.21304496668744832,2.888189694212776,132.28591469998355,132.0712746999925,[-2.562094499997329],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,2.6751447275253275,time,397.0,-0.6221663615154513,7.198759481196902e-05,0,34,[],0.01094706667936407,None,['space'],134.9930638000078,134.9930638000078,0.2123444666794967,2.887489194204824,135.20469720000983,134.9930638000078,[-2.580174899980193],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
1,0,1,0,11,0,11,0,,,,,,,,2.6751447275253275,time,1191.0,-1.0,4.6381968238644286e-05,0,35,[],0.010905166651355103,None,['space'],137.91233049999573,137.91233049999573,0.21218906666035764,2.887333794185685,138.12755040000775,137.91233049999573,[-2.587136499991175],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,"[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334]",142.85689490000368,None,2.657005643628879,time,1304.0,-1.8191232963145705,4.312200144140705e-05,0,36,[],0.012742266670102254,None,None,143.87892389998888,None,0.21584546667872928,2.872851110307608,144.09186769998632,None,,140.8276504999958,None,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,2.657005643628879,time,581.0,-3.2626028780203717,4.039347323976659e-05,0,37,[],0.010432466660859063,None,None,146.7719889,146.7719889,0.21229126665275544,2.8692969102816344,146.98067620000802,146.7719889,,,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,2.657005643628879,time,,,,1,37,[],0.010400566650787368,None,['space'],149.67058710000128,149.67058710000128,0.21004956666729413,2.867055210296173,149.8820204999938,149.67058710000128,[-2.449188899976434],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,2.657005643628879,time,922.0,-1.735048803832497,3.426043994061345e-05,0,38,[],0.01176806670264341,None,None,152.566911300004,152.566911300004,0.21532626668340527,2.872331910312284,152.78126610000618,152.566911300004,,,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,2.657005643628879,time,652.0,-2.60613831523715,3.647292933613501e-05,0,39,[],0.004026966635137796,None,['space'],155.4705214999849,155.4705214999849,0.19696526663028635,2.8539709102591653,155.6819528999913,155.4705214999849,[-2.4657262999971863],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
2,0,2,0,5,0,5,0,,,,,,,,2.657005643628879,time,732.0,-3.618214435172016,2.7836039839450392e-05,0,40,[],0.009654666646383703,None,['space'],158.36860129999695,158.36860129999695,0.20676706664380617,2.863772710272685,158.58034449999104,158.36860129999695,[-2.523178300005384],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
2,0,2,0,6,0,6,0,,,,,,,,2.657005643628879,time,5527.0,-9.87646891517449,4.2760872532766664e-05,0,41,[],0.010660666652256623,None,['space'],161.271471199987,161.271471199987,0.21142806665739045,2.8684337102862694,161.48270610001055,161.271471199987,[-2.5551239000051282],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
