sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_none,Audiogram_frequency,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,0,10,0,,,,,,,,2.6696292007832536,none,354.0,16.0,0.000558374449541685,0,35,[],0.01157106680329889,None,['space'],73.42614380002487,73.42614380002487,0.22471146681346,2.8943406675967136,73.64904670009855,73.42614380002487,[-0.2440982999978587],,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
0,0,0,0,11,0,11,0,,,,,,,,2.2598086552578707,none,315.0,16.405662404966872,0.0006520083004387309,0,36,[],0.01014546665828675,None,None,76.31274289998692,76.31274289998692,0.2127438667230308,2.4725525219809015,76.53739910002332,76.31274289998692,,,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
1,0,1,0,0,0,0,0,,,,,"[0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334]",81.8858740000287,None,1.3454167059620985,time,157.0,17.42186273462172,0.0032538567366940364,0,26,[],0.012637666775844991,0.21007956680841744,None,82.92551390000153,None,0.21007956680841744,1.555496272770516,83.136230800068,None,,78.79113860009238,None,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
1,0,1,0,1,0,1,0,,,,,,,,1.3454167059620985,time,501.0,15.658014303741735,0.0004324355558084308,0,27,[],0.011067966814152896,None,None,84.4773801000556,84.4773801000556,0.2199897668324411,1.5654064727945396,84.69147530000191,84.4773801000556,,,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
1,0,1,0,2,0,2,0,,,,,,,,1.3454167059620985,time,1263.0,9.258576840809626,0.00015733297673672456,0,28,[],0.011479666572995484,None,['space'],86.03947230009362,86.03947230009362,0.22897336666937917,1.5743900726314777,86.26000970008317,86.03947230009362,[-0.9368649000534788],,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
1,0,1,0,3,0,3,0,,,,,,,,1.3454167059620985,time,281.0,17.36749871582119,0.0009943800410288398,0,29,[],0.011375566711649299,None,None,87.60289970005397,87.60289970005397,0.2305670666974038,1.5759837726595023,87.82333230006043,87.60289970005397,,,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
1,0,1,0,4,0,4,0,,,,,,,,1.3454167059620985,time,354.0,16.0,0.000558374449541685,0,30,[],0.011506066774018109,None,['space'],89.16423260001466,89.16423260001466,0.23054686677642167,1.5759635727385202,89.38701370009221,89.16423260001466,[-0.33286890003364533],,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
1,0,1,0,5,0,5,0,,,,,,,,1.3454167059620985,time,,,,1,30,[],0.010868466808460653,None,None,90.72782540007029,90.72782540007029,0.2218489667866379,1.5672656727487364,90.94644229998812,90.72782540007029,,,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
1,0,1,0,6,0,6,0,,,,,,,,1.3454167059620985,time,446.0,16.83095764460733,0.0005151986845323651,0,31,[],0.012514266767539084,None,None,92.2833888999885,92.2833888999885,0.23154926672577858,1.576965972687877,92.50681420008186,92.2833888999885,,,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
1,0,1,0,7,0,7,0,,,,,,,,1.3454167059620985,time,250.0,16.80294201474877,0.0011590898561059913,0,32,[],0.0022984667448326945,None,['space'],93.85070459998678,93.85070459998678,0.20807486679404974,1.5534915727561482,94.0692246000981,93.85070459998678,[-0.12349090003408492],,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
