sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_both,Audiogram_none,Audiogram_frequency,Audiogram_time,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,2.0936975757187986,none,187.0,8.672842725374963,0.0008489695681961482,0,31,[],0.012762866652337834,None,None,116.89910099998815,116.89910099998815,0.2225138666399289,2.3162114423587274,117.11675729998387,116.89910099998815,,,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,2.609296638532271,none,315.0,10.517117959943894,0.00033099840599908314,0,32,[],0.011494966660393402,None,['space'],119.23090749999392,119.23090749999392,0.2153759666834958,2.824672605215767,119.43877899998915,119.23090749999392,[-1.866751599998679],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.378733599424848,none,1418.0,5.722755305995457,9.728292359297821e-05,0,33,[],0.01009516665362753,None,['space'],122.08015970000997,122.08015970000997,0.21531926665920764,2.5940528660840556,122.29977189999772,122.08015970000997,[-2.348269599984633],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,2.683155485502067,none,843.0,2.5115948714054914,5.286492143567186e-05,0,34,[],0.007988966652192175,None,None,124.69483940000646,124.69483940000646,0.2041797666461207,2.887335252148188,124.90920379999443,124.69483940000646,,,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.6144867014160873,none,167.0,8.4308094169398,0.001017907812089071,0,35,[],0.011273966636508703,None,None,127.62169219998759,127.62169219998759,0.21558876664494164,2.830075468061029,127.83755840000231,127.62169219998759,,,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,1.8659891159376625,none,210.0,9.0,0.0006929003500663659,0,36,[],0.011435566644649953,None,None,130.47115110000595,130.47115110000595,0.21553466664045118,2.0815237825781137,130.68200420000358,130.47115110000595,,,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,1.710606229889339,none,751.0,3.4209894843681385,6.019124487570755e-05,0,37,[],0.0053740666480734944,0.1998546666582115,['space'],132.57140919999802,132.57140919999802,0.1998546666582115,1.9104608965475505,132.78451880000648,132.57140919999802,[-1.6875751999905333],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
1,0,1,0,11,0,11,0,,,,,,,,1.0656950371425025,none,149.0,9.0,0.0014347043165385126,0,38,[],0.011078266659751534,None,['space'],134.51441549998708,134.51441549998708,0.22306396666681394,1.2887590038093164,134.7362673000025,134.51441549998708,[-0.07902830000966787],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,0.16666666666666666,154.16482320000068,None,1.3014455941633012,frequency,8000.0,4.0,0.0002877199686685786,0,38,[],0.013012966635869816,None,None,155.20378169999458,None,0.22523256664862856,1.5266781608119298,155.4180572000041,None,,135.8218615000078,None,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,2.4767984231787636,frequency,7127.0,-1.6886349810808916,0.0001276773122889914,0,39,[],0.010759866650914773,None,['space'],156.73770130000776,156.73770130000776,0.2098210666445084,2.686619489823272,156.94835580000654,156.73770130000776,[-0.8936741999932565],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,1.1241352623700847,frequency,6349.0,1.2371254170485049,0.00015162117069908812,0,40,[],0.0037520666664931923,None,['space'],159.45311780000338,159.45311780000338,0.1951599666790571,1.3192952290491418,159.6639496999851,159.45311780000338,[-2.2338908999809064],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,1.7123481369755857,frequency,5656.0,2.75496724044094,0.00017653790510461582,0,41,[],0.005236466648057103,0.20057606665068306,None,160.81709070000215,160.81709070000215,0.20057606665068306,1.9129242036262688,161.03778990000137,160.81709070000215,,,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,2.113043995687864,frequency,,,,1,41,[],0.011134366650367156,None,None,162.76647949998733,162.76647949998733,0.2104763666575309,2.323520362345395,162.9761332999915,162.76647949998733,,,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
2,0,2,0,5,0,5,0,,,,,,,,2.971085020805538,frequency,4489.0,4.1316029251609905,0.00018920679875459115,0,42,[],0.012198466662084684,None,None,165.119853399985,165.119853399985,0.2155750666570384,3.1866600874625766,165.32282279999345,165.119853399985,,,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
2,0,2,0,6,0,6,0,,,,,,,,2.6865689582067,frequency,3999.0,8.384717578936048,0.00022035101299773733,0,43,[],0.009065966674825177,None,"['space', 'space']",168.32333149999613,168.32333149999613,0.20423486668732949,2.8908038248940295,168.53447869999218,168.32333149999613,"[-2.7191625000268687, -0.8149871000205167]",,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
2,0,2,0,7,0,7,0,,,,,,,,2.98268560777597,frequency,3563.0,9.716185281490272,0.00023343052433484919,0,44,[],0.010762766702100635,None,"['space', 'space']",171.2530085000035,171.2530085000035,0.21557846668292768,3.1982640744588977,171.4640081000107,171.2530085000035,"[-2.3850523000000976, -0.9285530000051949]",,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
2,0,2,0,8,0,8,0,,,,,,,,1.7493788070637968,frequency,3174.0,6.150626157798108,0.00014097568723248012,0,45,[],0.010434966650791466,None,['space'],174.47821949998615,174.47821949998615,0.21218946666340344,1.9615682737272002,174.68591719999677,174.47821949998615,[-2.714262499997858],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
3,0,3,0,0,0,0,0,,,,,0.3333333333333333,177.93831299999147,None,1.702230211464155,both,1416.0,1.9349636167263806,6.29615199474663e-05,0,28,[],0.01287906666402705,None,None,178.95934289999423,None,0.22076446664868854,1.9229946781128435,179.17807520000497,None,,176.46468649999588,None,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
