sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_both,Audiogram_frequency,Audiogram_time,Audiogram_none,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,9,0,9,0,,,,,,,,2.5394794853446063,frequency,2764.0,0.5562396037820441,7.408532346834001e-05,0,46,[],0.022985839983448386,None,['space'],143.558406899916,143.558406899916,0.23078993998933583,2.770269425333942,143.77496119996067,143.558406899916,[-1.3779223000165075],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,2.200631170214544,frequency,,,,1,46,[],0.016205639927648008,0.21086143993306905,['space'],146.33833609998692,146.33833609998692,0.21086143993306905,2.411492610147613,146.55501559993718,146.33833609998692,[-2.3186217000475153],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
1,0,1,0,11,0,11,0,,,,,,,,2.0434056277843764,frequency,2193.0,1.8498684293354235,9.78622873215962e-05,0,47,[],0.024156340048648417,None,None,148.77949879993685,148.77949879993685,0.22627504006959498,2.2696806678539714,148.99147090001497,148.77949879993685,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
1,0,1,0,12,0,12,0,,,,,,,,1.5918302035758425,frequency,1954.0,1.7159392217357938,8.862145001843662e-05,0,48,[],0.016192739829421043,0.21137613989412785,None,151.059334199992,151.059334199992,0.21137613989412785,1.8032063434699703,151.27332769997884,151.059334199992,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,0.3333333333333333,158.40052649995778,None,1.3262928986204947,frequency,4595.0,4.252993808773931,0.00020377058076178107,0,49,[],0.024351839907467365,None,None,159.42235299991444,None,0.24283563997596502,1.5691285385964597,159.6361285999883,None,,152.8843060999643,None,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,2.300138681092231,frequency,3647.0,6.647016766796083,0.00016711502548083583,0,50,[],0.018676039995625615,0.2160424399189651,['space'],160.98386239993852,160.98386239993852,0.2160424399189651,2.516181121011196,161.20330369996373,160.98386239993852,[-1.058996899984777],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,2.103175628539335,frequency,2895.0,-1.4622369516626939,5.184359656259859e-05,0,51,[],0.02263423998374492,None,['space'],163.5291247999994,163.5291247999994,0.22673063992988318,2.3299062684692182,163.74022719997447,163.5291247999994,[-2.26912650000304],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,1.3970780956503224,frequency,2298.0,1.5179780540689984,9.696552651691476e-05,0,52,[],0.02181783993728459,None,None,165.87170000001788,165.87170000001788,0.2248119399882853,1.6218900356386077,166.09209609997924,165.87170000001788,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,1.0846855396299624,frequency,,,,1,52,[],0.02262643992435187,None,None,167.5129634999903,167.5129634999903,0.2289561399957165,1.313641679625679,167.73166629998013,167.5129634999903,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,5,0,5,0,,,,,,,,2.0816318933434625,frequency,1448.0,12.036891002447996,0.00019827575072423173,0,53,[],0.023832140024751425,None,None,168.8390077999793,168.8390077999793,0.22888694005087018,2.3105188333943327,169.05081009992864,168.8390077999793,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
