sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,0,10,0,,,,,,,,1.6991891881869097,both,,,,1,33,[],0.011778766638599336,None,['space'],118.72032510000281,118.72032510000281,0.22057456662878394,1.9197637548156936,118.93879539996851,118.72032510000281,[-1.4931355000007898],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,0,0,0,0,,,,,,122.91009020002093,None,2.4250547763207253,time,281.0,-0.2170253147821115,0.00013131858581960667,0,24,[],0.012907966738566756,None,None,123.93785799993202,None,0.23374406667426229,2.6587988429949876,124.16427369997837,None,,120.6311744999839,None,"[0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334]",,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,1,0,1,0,,,,,,,,2.4250547763207253,time,4762.0,-2.3597784260929986,0.0001039275655573515,0,25,[],0.010992766823619604,None,None,126.57984869997017,126.57984869997017,0.21358326682820916,2.6386380431489345,126.79118659999222,126.57984869997017,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,2,0,2,0,,,,,,,,2.4250547763207253,time,177.0,-1.0,0.0003112316958067494,0,26,[],0.011558866710402071,None,['space'],129.21584540000185,129.21584540000185,0.21403866668697447,2.6390934430076998,129.4279948999174,129.21584540000185,[-2.03643680003006],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,3,0,3,0,,,,,,,,2.4250547763207253,time,315.0,-0.5421202257999941,9.265396157662404e-05,0,27,[],0.011433666688390076,None,['space'],131.85297789995093,131.85297789995093,0.21568966668564826,2.6407444430063736,132.0669619999826,131.85297789995093,[-0.9610449000028893],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,4,0,4,0,,,,,,,,2.4250547763207253,time,2121.0,-1.0219624662530078,6.889220467039657e-05,0,28,[],0.011442966642789543,None,None,134.49377049994655,134.49377049994655,0.21333726670127362,2.638392043021999,134.7078667000169,134.49377049994655,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,5,0,5,0,,,,,,,,2.4250547763207253,time,223.0,1.5580986293670271,0.00026368096967966287,0,29,[],0.0044658666010946035,None,['space'],137.1334580000257,137.1334580000257,0.2096087665995583,2.6346635429202836,137.35309999994934,137.1334580000257,[-1.8893630999373272],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,6,0,6,0,,,,,,,,2.4250547763207253,time,1001.0,2.4758652369093292,5.863749737782413e-05,0,30,[],0.01103336678352207,None,['space'],139.7761748000048,139.7761748000048,0.21433566673658788,2.639390443057313,139.99229419999756,139.7761748000048,[-1.9082596000516787],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,7,0,7,0,,,,,,,,2.4250547763207253,time,1890.0,-1.7457315907873632,5.7127915387942296e-05,0,31,[],0.011219166684895754,None,['space'],142.4166314000031,142.4166314000031,0.2135671665892005,2.638621942909926,142.62825389998034,142.4166314000031,[-1.4290907999966294],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,8,0,8,0,,,,,,,,2.4250547763207253,time,199.0,1.048485286390561,0.00030360747612817585,0,32,[],0.011196966748684645,None,None,145.05487859994173,145.05487859994173,0.21416136668995023,2.6392161430106755,145.27183119999245,145.05487859994173,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,9,0,9,0,,,,,,,,2.4250547763207253,time,472.0,-2.9084830083128312,5.21382971215711e-05,0,33,[],0.004554866696707904,0.1974613667698577,['space'],147.69613609998487,147.69613609998487,0.1974613667698577,2.622516143090583,147.9118500999175,147.69613609998487,[-2.1328021000372246],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,10,0,10,0,,,,,,,,2.4250547763207253,time,668.0,1.7780850005304965,5.869833197764476e-05,0,34,[],0.010986666660755873,None,['space'],150.3357529999921,150.3357529999921,0.216509566642344,2.6415643429630693,150.5457199999364,150.3357529999921,[0.10823170002549887],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,11,0,11,0,,,,,,,,2.4250547763207253,time,158.0,1.520433648755711,0.0005109813199912363,0,35,[],0.010765866609290242,None,None,152.97415459994227,152.97415459994227,0.21462306671310216,2.6396778430338275,153.18754169996828,152.97415459994227,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,12,0,12,0,,,,,,,,2.4250547763207253,time,1500.0,-1.1709657586519207,4.221061855936569e-05,0,36,[],0.010959666687995195,None,['space'],155.61560709995683,155.61560709995683,0.21236606675665826,2.6374208430773836,155.82694870000705,155.61560709995683,[-1.924011699971743],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,13,0,13,0,,,,,,,,2.4250547763207253,time,530.0,-1.706530282373461,5.485551563830856e-05,0,37,[],0.008099066675640643,None,None,158.2534373999806,158.2534373999806,0.2032750666840002,2.6283298430047255,158.46737219998613,158.2534373999806,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
1,0,1,0,14,0,14,0,,,,,,,,2.4250547763207253,time,,,,1,37,[],0.0037887668004259467,0.19988776685204357,['space'],160.89568690001033,160.89568690001033,0.19988776685204357,2.624942543172769,161.11320719996002,160.89568690001033,[-1.011597599950619],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
2,0,2,0,0,0,0,0,,,,,,190.3670728999423,None,2.5099187875574307,time,561.0,-5.68629835998262,3.217932069610399e-05,0,38,[],0.012784266727976501,None,None,191.385665699956,None,0.2190996666904539,2.7290184542478846,191.60323569993488,None,,163.5352982999757,None,"[0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666]",,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
2,0,2,0,1,0,1,0,,,,,,,,2.5099187875574307,time,1059.0,1.475538242084322,5.513392303761252e-05,0,39,[],0.010313766775652766,None,None,194.10843020002358,194.10843020002358,0.22608746669720858,2.7360062542546393,194.32976509991568,194.10843020002358,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
2,0,2,0,2,0,2,0,,,,,,,,2.5099187875574307,time,,,,1,39,[],0.011049966560676694,None,None,196.8348365999991,196.8348365999991,0.21372056659311056,2.7236393541505413,197.04774800001178,196.8348365999991,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
2,0,2,0,3,0,3,0,,,,,,,,2.5099187875574307,time,5657.0,-6.0,6.441173693250209e-05,0,40,[],0.012112066731788218,None,None,199.55544050002936,199.55544050002936,0.21831996669061482,2.7282387542480455,199.76687419996597,199.55544050002936,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
2,0,2,0,4,0,4,0,,,,,,,,2.5099187875574307,time,3364.0,-1.4664484923633823,6.147018379792234e-05,0,41,[],0.010722966748289764,None,['space'],202.27673459996004,202.27673459996004,0.21027866669464856,2.7201974542520793,202.49124769994523,202.27673459996004,[-2.1855481999227777],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
2,0,2,0,5,0,5,0,,,,,,,,2.5099187875574307,time,841.0,0.3332151672392296,4.107944780513208e-05,0,42,[],0.009849566733464599,None,None,205.00273039995227,205.00273039995227,0.2120305667631328,2.7219493543205635,205.21806749992538,205.00273039995227,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
2,0,2,0,6,0,6,0,,,,,,,,2.5099187875574307,time,5040.0,-7.255735745909323,6.560982787929432e-05,0,43,[],0.0003640666836872697,None,None,207.72931780002546,207.72931780002546,0.1950311667751521,2.704949954332583,207.94331799994688,207.72931780002546,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
2,0,2,0,7,0,7,0,,,,,,,,2.5099187875574307,time,2245.0,-2.686818165482376,5.889317595930763e-05,0,44,[],0.010377466795034707,None,['space'],210.45579689997248,210.45579689997248,0.21356496680527925,2.72348375436271,210.66268099995796,210.45579689997248,[-2.2202940999995917],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
2,0,2,0,8,0,8,0,,,,,,,,2.5099187875574307,time,2000.0,-4.817954271831589,4.296079314554617e-05,0,45,[],0.01038126670755446,None,None,213.17873039992992,213.17873039992992,0.21599436667747796,2.7259131542349087,213.39933769998606,213.17873039992992,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
