sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_frequency,Audiogram_none,Audiogram_time,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,5,0,5,0,,,,,,,,2.0257725523639336,frequency,446.0,0.16920112585844294,7.566358584760716e-05,0,31,[],0.010951266624033451,0.20800446649082005,None,86.28224690002389,86.28224690002389,0.20800446649082005,2.2337770188547537,86.49504479998723,86.28224690002389,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.118305884625597,frequency,562.0,2.8930883994949363,8.618879870295842e-05,0,32,[],0.010838166577741504,None,None,88.53804420004599,88.53804420004599,0.20740706659853458,2.3257129512241317,88.75481799989939,88.53804420004599,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,1.953815630347469,frequency,708.0,0.5639831255039951,4.729815159294312e-05,0,33,[],0.011023766594007611,None,['space'],90.89301500003785,90.89301500003785,0.21114046638831496,2.164956096735784,91.10390069987625,90.89301500003785,[-1.8293395000509918],,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.4565348333479156,frequency,892.0,-0.04990534170338978,4.074808963470412e-05,0,34,[],0.011122866533696651,None,None,93.08602269995026,93.08602269995026,0.21310156653635204,2.6696363998842676,93.30293280002661,93.08602269995026,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,1.7102467512317607,frequency,1124.0,-0.16890986146420917,4.82907324907432e-05,0,35,[],0.011214366648346186,0.20627676649019122,None,95.78379129990935,95.78379129990935,0.20627676649019122,1.916523517721952,95.99618589994498,95.78379129990935,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,2.0904956864279574,frequency,1416.0,-0.42155500589130535,4.800088809451582e-05,0,36,[],0.00476276664994657,0.19468736671842635,None,97.72236169991083,97.72236169991083,0.19468736671842635,2.2851830531463837,97.93090929999016,97.72236169991083,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,"[0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333]",103.64644460007548,None,1.88442517897314,none,4595.0,-1.0,0.00011129913595123019,0,37,[],0.012735866475850344,None,None,104.68408240005374,None,0.2132498666178435,2.0976750455909836,104.89257030002773,None,,100.05235549993813,None,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,1.4702455219433355,none,2895.0,-0.7276491936625182,5.6418886463752495e-05,0,38,[],0.010576866567134857,None,['space'],106.80435079988092,106.80435079988092,0.212461166549474,1.6827066884928095,107.01245280005969,106.80435079988092,[-1.5960808999370784],,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,2.495342837803057,none,2298.0,-0.9155018407532939,7.327289744135831e-05,0,39,[],0.011027066735550761,0.2068305667489767,"['space', 'space']",108.51357370009646,108.51357370009646,0.2068305667489767,2.702173404552034,108.71844649990089,108.51357370009646,"[-1.2896710999775678, -0.42596339993178844]",,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,2.170822761366491,none,608.0,1.3304926895786684,6.363421516008104e-05,0,40,[],0.0038276666309684515,0.19393446645699441,['space'],111.23818270000629,111.23818270000629,0.19393446645699441,2.3647572278234854,111.44959510001354,111.23818270000629,[-2.2928336998447776],,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
