sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_frequency,Audiogram_time,Audiogram_none,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,0,10,0,,,,,,,,1.2162048424170089,both,223.0,-3.615010591876441,0.00014535277451565039,0,35,[],0.028164749965071678,None,['space'],74.63046410004608,74.63046410004608,0.23335845000110567,1.4495632924181145,74.8420772999525,74.63046410004608,[-0.920115299988538],,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,11,0,11,0,,,,,,,,1.2162048424170089,both,199.0,-2.3692443819360185,0.00020484528785787666,0,36,[],0.02818624977953732,None,['space'],76.05008419998921,76.05008419998921,0.23124844976700842,1.4474532921840173,76.25665530003607,76.05008419998921,[-1.04388100001961],,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,12,0,12,0,,,,,,,,1.2162048424170089,both,177.0,-3.415151429268521,0.0002356819091958959,0,37,[],0.028016849886626005,None,['space'],77.47444660007022,77.47444660007022,0.23229654971510172,1.4485013921321106,77.69072280009277,77.47444660007022,[-1.0759209000971168],,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,13,0,13,0,,,,,,,,1.2162048424170089,both,158.0,-2.0,0.0003407087925765764,0,38,[],0.024468049872666597,None,['space'],78.90860580001026,78.90860580001026,0.23029274982400239,1.4464975922410113,79.12257360015064,78.90860580001026,[-1.1023111999966204],,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,14,0,14,0,,,,,,,,1.2162048424170089,both,141.0,-1.915674332070588,0.00046542533049048486,0,39,[],0.02323464979417622,None,['space'],80.32926909998059,80.32926909998059,0.2192957499064505,1.4355005923234594,80.54935940005817,80.32926909998059,[-1.1161485000047833],,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
1,0,1,0,0,0,0,0,,,,,0.16666666666666666,87.62389570008963,None,1.6209927849850774,frequency,708.0,-0.3541301493109944,4.255381538821368e-05,0,26,[],0.029032049933448434,None,None,88.64548430009745,None,0.2322256499901414,1.8532184349752188,88.86477089999244,None,,81.76377920014784,None,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
1,0,1,0,1,0,1,0,,,,,,,,2.5495505869499064,frequency,631.0,-0.24908468186926203,4.9633029068524996e-05,0,27,[],0.027461049845442176,None,None,90.47632970008999,90.47632970008999,0.23303434974513948,2.782584936695046,90.69697019993328,90.47632970008999,,,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
1,0,1,0,2,0,2,0,,,,,,,,2.7091640034743887,frequency,562.0,-1.3706756014246866,5.275487854560185e-05,0,28,[],0.027754549868404865,None,['space'],93.23585129994899,93.23585129994899,0.23391744983382523,2.943081453308214,93.4448083001189,93.23585129994899,[-1.9099858000408858],,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
1,0,1,0,3,0,3,0,,,,,,,,1.9252950939700415,frequency,,,,1,28,[],0.021499650087207556,None,['space'],96.16111650015227,96.16111650015227,0.23051725002005696,2.1558123439900987,96.38165599992499,96.16111650015227,[-2.515409199986607],,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
1,0,1,0,4,0,4,0,,,,,,,,1.7733783167483805,frequency,446.0,-1.7671551065330124,6.0543720839104125e-05,0,29,[],0.02885984955355525,None,None,98.30204780003987,98.30204780003987,0.2338469496462494,2.00722526639463,98.51745310006663,98.30204780003987,,,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
