sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_time,Audiogram_both,Audiogram_none,Audiogram_frequency,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
2,0,2,0,4,0,4,0,,,,,,,,1.8784429070871762,none,157.0,16.062328445201253,0.002782413764477011,0,32,[],0.022712160018272698,None,['space'],97.14694920007605,97.14694920007605,0.22867805999703705,2.1071209670842133,97.36275930004194,97.14694920007605,[-2.4688925000373274],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
2,0,2,0,5,0,5,0,,,,,,,,2.659236448722934,none,140.0,13.156398815019017,0.002679576751216295,0,33,[],0.021738859941251576,None,['space'],99.23291440005414,99.23291440005414,0.2249092599377036,2.8841457086606375,99.45480399997905,99.23291440005414,[-1.738938600057736],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
2,0,2,0,6,0,6,0,,,,,,,,2.6344936659947944,none,250.0,16.88871785017818,0.0011705929301510849,0,34,[],0.02178286004345864,None,['space'],102.10275910003111,102.10275910003111,0.22418095998000354,2.858674625974798,102.32433089998085,102.10275910003111,[-2.496299699996598],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
2,0,2,0,7,0,7,0,,,,,,,,2.670128448870246,none,1786.0,16.91695280702789,0.0004568309468676463,0,35,[],0.02245975995901972,None,['space'],104.95093210006598,104.95093210006598,0.23842355993110687,2.908552008801353,105.17341669998132,104.95093210006598,[-2.4322659999597818],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
2,0,2,0,8,0,8,0,,,,,,,,1.46227154354999,none,354.0,18.0,0.0007029517838246072,0,36,[],0.022230959846638143,None,['space'],107.83437240007333,107.83437240007333,0.22456625988706946,1.6868378034370595,108.0485006000381,107.83437240007333,[-2.5970446000574157],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
2,0,2,0,9,0,9,0,,,,,,,,1.3791618735378914,none,198.0,15.82915773436978,0.0016872704937863088,0,37,[],0.022373059880919755,None,['space'],109.50890430004802,109.50890430004802,0.2266883598640561,1.6058502334019475,109.72279889998026,109.50890430004802,[-1.1350225999485701],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
2,0,2,0,10,0,10,0,,,,,,,,2.4952577981791917,none,946.0,15.799199603966226,0.0002621376341210109,0,38,[],0.022226360044442117,None,['space'],111.10073659999762,111.10073659999762,0.2243739600526169,2.7196317582318086,111.31747940008063,111.10073659999762,[-1.0792950000613928],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
2,0,2,0,11,0,11,0,,,,,,,,2.686707295457329,none,446.0,19.29452747979418,0.0006841530024324603,0,39,[],0.022235659882426262,None,['space'],113.81571660004556,113.81571660004556,0.22746585996355861,2.9141731554208876,114.03047100000549,113.81571660004556,[-2.2899028999963775],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
3,0,3,0,0,0,0,0,,,,,0.5833333333333334,119.57956920005381,None,1.8377228624272322,frequency,177.0,24.0,0.005534569164046399,0,46,[],0.024237859877757728,None,None,120.58677340007853,None,0.236757559934631,2.074480422361863,120.8006144000683,None,,116.71033380005974,None,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
3,0,3,0,1,0,1,0,,,,,,,,2.802712930654164,frequency,265.0,22.976858438754714,0.0021355906759560677,0,47,[],0.021723959944210947,None,['space'],122.6339496000437,122.6339496000437,0.22483385994564742,3.0275467905998115,122.84581470000558,122.6339496000437,[-1.3810032999608666],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
