sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,,Audiogram_frequency,feedback.rt,Audiogram_time,Audiogram_both,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,,,,,,83.21803960006218,None,2.5744814532133615,frequency,169.0,-0.5633342051453578,0.0003545843778211197,0,26,[],0.02357018005568534,None,None,84.2529438000638,None,0.2372019800823182,2.8116834332956797,84.46607510000467,None,80.74733240006026,None,0.5833333333333334,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
1,0,1,0,1,0,1,0,,,,,,,,1.197113152651378,frequency,253.0,-3.5643622582538432,0.00010900121172989949,0,27,[],0.022080080001614988,None,None,87.03193739999551,87.03193739999551,0.22267927997745574,1.4197924326288338,87.24368610000238,87.03193739999551,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
1,0,1,0,2,0,2,0,,,,,,,,2.5924624753697394,frequency,379.0,-8.0,3.264724102951903e-05,0,28,[],0.022099680034443736,None,None,88.44489640009124,88.44489640009124,0.22466497996356338,2.8171274553333028,88.66071090009063,88.44489640009124,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
1,0,1,0,3,0,3,0,,,,,,,,1.1694099568963585,frequency,568.0,-7.983558797631262,2.4265403266415316e-05,0,29,[],0.014931580051779747,None,None,91.25327119999565,91.25327119999565,0.20539598003961146,1.37480593693597,91.46464730007574,91.25327119999565,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
1,0,1,0,4,0,4,0,,,,,,,,1.8486010682608434,frequency,,,,1,29,[],0.02269638003781438,None,None,92.63609750010073,92.63609750010073,0.22316148004028946,2.071762548301133,92.8524657000089,92.63609750010073,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
1,0,1,0,5,0,5,0,,,,,,,,2.4180435866085643,frequency,1275.0,-7.300397245334777,2.3252876690633745e-05,0,30,[],0.02348437998443842,None,None,94.69535500009079,94.69535500009079,0.22404548001941293,2.6420890666279773,94.90442250005435,94.69535500009079,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
1,0,1,0,6,0,6,0,,,,,,,,1.5304977964678883,frequency,1910.0,-3.532948738205265,4.710497208923661e-05,0,31,[],0.013598780031315982,0.20632317999843508,None,97.32762840006035,97.32762840006035,0.20632317999843508,1.7368209764663234,97.54244390001986,97.32762840006035,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
1,0,1,0,7,0,7,0,,,,,,,,1.5353166289737428,frequency,2862.0,-4.922938491536348,3.596995640067604e-05,0,32,[],0.02213397982995957,None,None,99.06608610006515,99.06608610006515,0.2232148798648268,1.7585315088385696,99.27377590001561,99.06608610006515,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
1,0,1,0,8,0,8,0,,,,,,,,2.070250427336149,frequency,4288.0,-2.0165793212764154,8.225938458149241e-05,0,33,[],0.014533880050294101,0.2039615799440071,None,100.81413230008911,100.81413230008911,0.2039615799440071,2.274212007280156,101.01806880009826,100.81413230008911,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
2,0,2,0,0,0,0,0,,,,,,114.6221402999945,None,1.952794469151186,both,151.0,-3.5034629706927722,0.0003281908510567524,0,26,[],0.023120079888030887,None,None,115.6365074000787,None,0.22474507987499237,2.1775395490261786,115.85067830001935,None,103.08505009999499,None,0.3333333333333333,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
