sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,Intervals,feedback.rt,Audiogram_frequency,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,14,0,14,0,,,,,,,,2.6704697476216595,frequency,,,,1,39,[],0.02369480987545103,None,None,98.78657250001561,98.78657250001561,0.23689960991032422,2.9073693575319837,99.00515940005425,98.78657250001561,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,,106.88397359999362,None,2.0684549523230027,time,,,,1,25,[],0.024890510132536292,None,None,107.91526839998551,None,0.2554789101704955,2.323933862493498,108.1492556000594,None,101.69725470000412,None,"[0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333]",,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,2.0684549523230027,time,478.0,-6.559188902158121,3.410284843462696e-05,0,26,[],0.02448920998722315,None,None,110.23385570000391,110.23385570000391,0.23391591000836343,2.302370862331366,110.45177699998021,110.23385570000391,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.0684549523230027,time,1073.0,-4.625672427842442,2.765610280256411e-05,0,27,[],0.02162511006463319,None,None,112.54345120000653,112.54345120000653,0.22386331006418914,2.292318262387192,112.76635170006193,112.54345120000653,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,2.0684549523230027,time,716.0,-2.8361096412937017,3.147102001649497e-05,0,28,[],0.02284171001520008,None,None,114.85594060004223,114.85594060004223,0.22729141009040177,2.2957463624134045,115.06800329999533,114.85594060004223,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,2.0684549523230027,time,179.0,-7.288213606317326,0.00014774697200454378,0,29,[],0.022852509981021285,None,None,117.16499419999309,117.16499419999309,0.23071920999791473,2.2991741623209174,117.38539780001156,117.16499419999309,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,2.0684549523230027,time,379.0,-8.0,3.264724102951903e-05,0,30,[],0.02337460988201201,None,None,119.47970949998125,119.47970949998125,0.23394530988298357,2.3024002622059863,119.69602000003215,119.47970949998125,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.0684549523230027,time,253.0,-6.220639973189847,8.028186264317297e-05,0,31,[],0.01051130995620042,None,None,121.79145680007059,121.79145680007059,0.20858901005703956,2.2770439623800423,122.0070621999912,121.79145680007059,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,2.0684549523230027,time,225.0,-7.791930977394754,8.82644994373077e-05,0,32,[],0.022726309951394796,None,None,124.10618760006037,124.10618760006037,0.22922621003817767,2.2976811623611804,124.32574720005505,124.10618760006037,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.0684549523230027,time,1204.0,-5.233514543442572,2.8786416997512755e-05,0,33,[],0.021521110087633133,None,None,126.42327749996912,126.42327749996912,0.22920540999621153,2.2976603623192142,126.63734889996704,126.42327749996912,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
