sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_none,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
2,0,2,0,5,0,5,0,,,,,,,,1.2764208057065878,none,6350.0,-6.670036744865224,6.102416439709932e-05,0,37,[],0.005529866786673665,None,['space'],103.23215930000879,103.23215930000879,0.21958316676318645,1.4960039724697742,103.44699049997143,103.23215930000879,[-0.12367439968511462],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
2,0,2,0,6,0,6,0,,,,,,,,2.3880281811147803,none,5040.0,-7.6411581442589585,6.276214508872442e-05,0,38,[],0.010003266390413046,None,None,104.74939989997074,104.74939989997074,0.2154946664813906,2.603522847596171,104.96474949992262,104.74939989997074,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
2,0,2,0,7,0,7,0,,,,,,,,2.88756003859024,none,2379.0,-9.199564456861715,2.8854522548678222e-05,0,39,[],0.005963766947388649,None,['space'],107.37878470006399,107.37878470006399,0.21127846697345376,3.098838505563694,107.59696580003947,107.37878470006399,[-2.1576902999076992],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
2,0,2,0,8,0,8,0,,,,,,,,1.7460052427083725,none,1682.0,-8.551997651622692,2.2584925405645064e-05,0,40,[],0.006992366397753358,None,None,110.51297789998353,110.51297789998353,0.21464786655269563,1.9606531092610682,110.7356632000301,110.51297789998353,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,0,0,0,0,,,,,,117.26236769999377,None,2.383313046154397,none,1499.0,0.6680683184351506,5.21911159719201e-05,0,41,[],0.01274816645309329,None,None,118.3080961999949,None,0.2181067664641887,2.6014198126185857,118.52223189990036,None,,112.50265159993432,None,"[0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333]",,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,1,0,1,0,,,,,,,,1.1902414137637702,none,1683.0,5.000293114881968,0.00010758642021690357,0,42,[],0.010176166659221053,None,None,120.93255189992487,120.93255189992487,0.21917566657066345,1.4094170803344337,121.1522069000639,120.93255189992487,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,2,0,2,0,,,,,,,,1.526528608784214,none,561.0,6.700315605430406,0.0001339391597736213,0,43,[],0.0106605663895607,None,['space'],122.36613520001993,122.36613520001993,0.22024816647171974,1.7467767752559338,122.58213609992526,122.36613520001993,[-1.1935621998272836],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,3,0,3,0,,,,,,,,1.679497104367641,none,333.0,5.169963100503045,0.00017036740307471,0,44,[],0.0062015666626393795,None,None,124.12740319990553,124.12740319990553,0.2084417666774243,1.8879388710450653,124.3436402999796,124.12740319990553,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,4,0,4,0,,,,,,,,2.8215111398174937,none,,,,1,44,[],0.010827666614204645,None,['space'],126.06044250004925,126.06044250004925,0.22738876659423113,3.048899906411725,126.2790802998934,126.06044250004925,[-0.9365513997618109],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,5,0,5,0,,,,,,,,1.4375755885399586,none,222.0,6.0,0.00044362670491473615,0,45,[],0.011776766506955028,None,['space'],129.11926629999653,129.11926629999653,0.2220502665732056,1.6596258551131642,129.33709979988635,129.11926629999653,[-2.3634694998618215],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,6,0,6,0,,,,,,,,1.6990960993013624,none,794.0,6.468973153412939,8.137589217556876e-05,0,46,[],0.002702866680920124,None,['space'],130.8053748998791,130.8053748998791,0.2024879667442292,1.9015840660455916,131.02460030000657,130.8053748998791,[-1.169709999812767],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
