sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,Audiogram_frequency,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_none,Audiogram_time,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,,,,,,53.19518549996428,None,2.697689478292539,time,5040.0,-4.2312858051045295,9.293758765421412e-05,0,32,['frequency'],0.012800966622307897,None,None,54.22980640013702,None,0.22334876656532288,2.921038244857862,54.447603800101206,None,,,49.47500480012968,None,"[0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,2.697689478292539,time,3564.0,-9.638178626211541,2.515008145575302e-05,0,33,['frequency'],0.010768366511911154,0.2081807665526867,['space'],57.165757700102404,57.165757700102404,0.2081807665526867,2.9058702448452256,57.374390200013295,57.165757700102404,,[-2.3778957999311388],,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.697689478292539,time,6350.0,-7.738683466891281,5.395969736395514e-05,0,34,['frequency'],0.010703966487199068,None,None,60.101876999950036,60.101876999950036,0.21091556642204523,2.908605044714584,60.31056850007735,60.101876999950036,,,,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,2.697689478292539,time,1782.0,-1.742749578047504,5.3157522530327356e-05,0,35,['frequency'],0.010156466625630856,None,None,63.038768799975514,63.038768799975514,0.2083811666816473,2.906070644974186,63.24842940014787,63.038768799975514,,,,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,2.697689478292539,time,8000.0,-10.0,5.740768107484415e-05,0,36,['frequency'],0.007323766592890024,0.19746586657129228,None,65.97644930006936,65.97644930006936,0.19746586657129228,2.895155344863831,66.18210480012931,65.97644930006936,,,,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,2.697689478292539,time,2000.0,-7.210698045666199,3.261633071759494e-05,0,37,['frequency'],0.010743466904386878,None,['space'],68.90748589998111,68.90748589998111,0.20963216689415276,2.9073216451866917,69.12400780012831,68.90748589998111,,[-2.3753827000036836],,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.697689478292539,time,4490.0,-9.697134358711619,3.852600065210654e-05,0,38,['frequency'],0.010706266853958368,None,None,71.84811200015247,71.84811200015247,0.2110297668259591,2.908719245118498,72.05651809996925,71.84811200015247,,,,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,2.697689478292539,time,,,,1,38,['frequency'],0.007858466822654009,0.19949236675165594,None,74.78576250001788,74.78576250001788,0.19949236675165594,2.897181845044195,74.9911261999514,74.78576250001788,,,,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.697689478292539,time,2829.0,-4.819775117564713,3.7577105499523244e-05,0,39,['frequency'],0.011988266604021192,None,None,77.71296100015752,77.71296100015752,0.21208576671779156,2.9097752450103305,77.93201690004207,77.71296100015752,,,,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,,83.48130109999329,None,2.9152772241450426,time,595.0,2.7778454747953196,7.796468008418425e-05,0,40,['frequency'],0.012922766851261258,None,None,84.51811910001561,None,0.21280286670662463,3.1280800908516673,84.72708209999837,None,,,80.65803820011206,None,"[0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334]",,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
