sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,8,0,8,0,,,,,,,,1.4970620305001243,both,223.0,4.557619410723171,0.0003724387206873435,0,32,[],0.020270800101570785,None,"['space', 'space']",112.15196349995676,112.15196349995676,0.2192909000441432,1.7163529305442675,112.37334509997163,112.15196349995676,"[-1.4286550999386236, 0.02664520009420812]",,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
1,0,1,0,9,0,9,0,,,,,,,,1.4970620305001243,both,177.0,7.490388433282703,0.0008271861243763188,0,33,[],0.0224483001511544,None,None,113.86370019998867,113.86370019998867,0.22313710011076182,1.7201991306108861,114.07534720003605,113.86370019998867,,,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
1,0,1,0,10,0,10,0,,,,,,,,1.4970620305001243,both,140.0,5.903938726752099,0.0011626344748286157,0,34,[],0.021928699919953942,None,"['space', 'space']",115.57155580003746,115.57155580003746,0.21936969994567335,1.7164317304457977,115.78266180003993,115.57155580003746,"[-1.4408481999998912, 0.20807809999678284]",,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
2,0,2,0,0,0,0,0,,,,,,118.8164840999525,None,1.7044689102786619,none,795.0,2.4164385219266684,5.0975053816757846e-05,0,25,[],0.02407620009034872,None,None,119.83792520000134,None,0.23557780007831752,1.9400467103569794,120.05418640002608,None,,117.2799891999457,None,"[0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]",,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
2,0,2,0,1,0,1,0,,,,,,,,1.8859223404715655,none,354.0,2.0,0.00011141034968120162,0,26,[],0.018508799956180155,None,None,121.7461428999668,121.7461428999668,0.21618969994597137,2.102112040417537,121.96597839996684,121.7461428999668,,,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
2,0,2,0,2,0,2,0,,,,,,,,2.336074613745472,none,250.0,2.5290598231943813,0.00022409026773927016,0,27,[],0.01569020003080368,0.20906760008074343,['space'],123.85140169993974,123.85140169993974,0.20906760008074343,2.5451422138262156,124.06372440000996,123.85140169993974,[-1.737094199983403],,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
2,0,2,0,3,0,3,0,,,,,,,,1.9179567198529892,none,281.0,1.6573727026942466,0.0001629468982756935,0,28,[],0.020218199933879077,None,['space'],126.39990209997632,126.39990209997632,0.21768290002364665,2.1356396198766356,126.61161769996397,126.39990209997632,[-2.124848699895665],,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
2,0,2,0,4,0,4,0,,,,,,,,1.9738540677398893,none,315.0,0.9926441179293326,0.00011056106417515449,0,29,[],0.02239340008236468,None,['space'],128.53012130002026,128.53012130002026,0.227374600013718,2.2012286677536075,128.7436303999275,128.53012130002026,[-1.8552542000543326],,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
2,0,2,0,5,0,5,0,,,,,,,,1.6076619242202241,none,708.0,2.1780019311553946,5.695673807067512e-05,0,30,[],0.022256600088439882,None,"['space', 'space']",130.7190464999294,130.7190464999294,0.22598850005306304,1.8336504242732872,130.9313202999765,130.7190464999294,"[-1.8841370000736788, 0.13148109999019653]",,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
2,0,2,0,6,0,6,0,,,,,,,,1.8343773597458908,none,446.0,1.4308828017738713,8.749253568497418e-05,0,31,[],0.02144619997125119,None,None,132.53941680002026,132.53941680002026,0.22145730000920594,2.0558346597550967,132.75570460001472,132.53941680002026,,,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
