practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,406.12619817811805,-4.0,4.810503611239506e-05,False,0.01372076675761491,None,None,0,,280.26648049999494,281.2630492999451,None,1,281.2630492999451,280.26648049999494,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,176.7766952966369,-1.0,0.0003119565241000184,False,0.007576099946163595,None,None,0,,284.66977419995237,285.68800069997087,None,1,285.68800069997087,284.66977419995237,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,2297.3967099940687,8.0,0.00020447824836438333,False,0.014723266591317952,None,['space'],1,[0.535160299972631],289.9633363999892,290.98773910000455,None,1,290.98773910000455,289.9633363999892,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,5278.031643091578,8.0,0.00035792691385754113,False,0.011321933241561055,None,['space'],1,[0.43244160001631826],293.5373449999606,294.54234709998127,None,1,294.54234709998127,293.5373449999606,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,757.8582832551998,-4.0,2.5417622782326873e-05,False,0.01571990002412349,None,None,0,,298.90392599999905,299.90992190002,None,1,299.90992190002,298.90392599999905,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.013383733225055039,None,['space'],1,[-0.03837079997174442],302.04052469995804,303.06711299996823,None,1,303.06711299996823,302.04052469995804,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,125.0,5.0,0.0012851978913844323,False,0.013343266677111387,None,['space'],1,[0.46540889993775636],306.65777950000484,307.65603279997595,None,1,307.65603279997595,306.65777950000484,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,1231.1444133449168,0.0,5.372054966049046e-05,False,0.00018223316874355078,0.18504293321166188,None,0,,310.67711559997406,311.6934755999828,None,1,311.6934755999828,310.67711559997406,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,8000.0,4.0,0.0002877199686685786,False,0.003082199953496456,None,['space'],1,[0.4430818000109866],315.0801791999256,316.0920259000268,None,1,316.0920259000268,315.0801791999256,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,1741.101126592249,3.0,8.916176375089286e-05,False,0.010892633348703384,None,None,0,,318.514916599961,319.51884289993905,None,1,319.51884289993905,318.514916599961,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
