sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,Intervals,feedback.rt,Audiogram_frequency,Audiogram_time,Audiogram_both,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
3,0,3,0,0,0,0,0,,,,,,215.87129869998898,None,1.7511545089794802,none,283.0,3.4424341091831065,0.00019697468750141,0,36,[],0.018988339987117797,None,['space'],216.88012909999816,None,0.2304509399982635,1.9816054489777437,217.09915249999904,None,211.6024783999892,None,"[0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333]",[-1.7833580000005895],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
3,0,3,0,1,0,1,0,,,,,,,,2.6524475720453324,none,189.0,4.0,0.0004841911708835744,0,37,[],0.016499139994266443,0.21109453999088146,['space'],218.85298719999264,218.85298719999264,0.21109453999088146,2.863542112036214,219.07030839999788,218.85298719999264,,,,[-1.43761789999553],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
3,0,3,0,2,0,2,0,,,,,,,,2.3437988610227563,none,,,,1,37,[],0.021876540005905554,None,['space'],221.713854799993,221.713854799993,0.22518084000330418,2.5689797010260604,221.9281661999994,221.713854799993,,,,[-2.4499661000008928],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
3,0,3,0,3,0,3,0,,,,,,,,2.417818826638285,none,1131.0,4.822873727229791,8.630337300808871e-05,0,38,[],0.023098339996067807,None,None,224.26520229999733,224.26520229999733,0.22867133999534417,2.646490166633629,224.47662229998969,224.26520229999733,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
3,0,3,0,4,0,4,0,,,,,,,,1.5394631862204,none,898.0,2.572332949855672,5.5337881765969e-05,0,39,[],0.019297040009405464,0.219045140009257,['space'],226.89252139999007,226.89252139999007,0.219045140009257,1.758508326229657,227.10903529998905,226.89252139999007,,,,[-1.8201636999874609],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
3,0,3,0,5,0,5,0,,,,,,,,2.4544451502122033,none,318.0,3.732442142592948,0.00015036570818823336,0,40,[],0.021791639999719337,None,['space'],228.64287739999418,228.64287739999418,0.22346753999590874,2.677912690208112,228.8525171999936,228.64287739999418,,,,[-1.3147113000013633],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
3,0,3,0,6,0,6,0,,,,,,,,1.1875227521269427,none,713.0,1.2812889145017081,5.086183033084713e-05,0,41,[],0.02135994000127539,None,['space'],231.31037799999467,231.31037799999467,0.22687364000012167,1.4143963921270644,231.5207284999924,231.31037799999467,,,,[-2.149911400003475],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
3,0,3,0,7,0,7,0,,,,,,,,1.585993892681244,none,126.0,2.8211856636240986,0.0009877481208344476,0,42,[],0.02173543999379035,None,None,232.7088453999895,232.7088453999895,0.2290892399905715,1.8150831326718155,232.92616239999188,232.7088453999895,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
4,0,4,0,0,0,0,0,,,,,0.16666666666666666,237.48543079999217,None,1.793721171587065,frequency,758.0,-3.279988322770447,2.760997670483863e-05,0,26,[],0.018537340001785196,None,None,238.50223749999714,None,0.21967714000493288,2.013398311591998,238.72111949999817,None,234.5064687999984,None,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
4,0,4,0,1,0,1,0,,,,,,,,1.473244191817316,frequency,675.0,-2.5601552111541817,3.5164482093071265e-05,0,27,[],0.02121684000303503,None,None,240.51756779999414,240.51756779999414,0.22740884000086226,1.7006530318181783,240.7387369999924,240.51756779999414,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
