sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,Intervals,feedback.rt,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,,,,,,105.827678500209,None,1.7426980589810197,time,132.0,2.793060397016913,0.0009108779696047996,0,28,[],0.02965952013619244,0.22651832015253603,None,106.83758060005493,None,0.22651832015253603,1.9692163791335557,107.04632210009731,None,88.47874720022082,None,"[0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334]",,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,1.7426980589810197,time,354.0,2.0,0.00011141034968120162,0,29,[],0.020157220074906945,0.21412782021798193,None,108.80918229999952,108.80918229999952,0.21412782021798193,1.9568258791990016,109.0233788001351,108.80918229999952,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,1.7426980589810197,time,315.0,1.6369525245249017,0.0001190741885328324,0,30,[],0.025926820002496243,0.22449272009544075,None,110.78856310015544,110.78856310015544,0.22449272009544075,1.9671907790764604,110.999313400127,110.78856310015544,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,1.7426980589810197,time,250.0,1.9413218736812863,0.0002094286523121687,0,31,[],0.028287220047786832,None,None,112.76632620021701,112.76632620021701,0.23322052019648254,1.9759185791775022,112.98108460009098,112.76632620021701,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,1.7426980589810197,time,595.0,2.0091590199047094,7.136143562205772e-05,0,32,[],0.020577620016410947,0.21714322012849152,None,114.74861340015195,114.74861340015195,0.21714322012849152,1.9598412791095112,114.9585151001811,114.74861340015195,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,1.7426980589810197,time,2244.0,2.416357676122019,0.00010595068670352461,0,33,[],0.028049519984051585,None,None,116.72620840021409,116.72620840021409,0.22870712005533278,1.9714051790363525,116.93501990009099,116.72620840021409,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,1.7426980589810197,time,1335.0,2.1873796299996764,6.740491919233684e-05,0,34,[],0.028032019967213273,None,None,118.7064481000416,118.7064481000416,0.23139622015878558,1.9740942791398053,118.92692750017159,118.7064481000416,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,1.7426980589810197,time,1498.0,2.6387127022047054,6.551667531332422e-05,0,35,[],0.027669420232996345,None,None,120.68501850008033,120.68501850008033,0.23322382010519505,1.9759218790862147,120.89791610022075,120.68501850008033,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,1.7426980589810197,time,198.0,3.0966075119196925,0.00038954461105622057,0,36,[],0.02575181983411312,0.22113611991517246,None,122.66698630014434,122.66698630014434,0.22113611991517246,1.9638341788961922,122.87468690006062,122.66698630014434,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,1.7426980589810197,time,891.0,3.201551431086042,5.920778326902256e-05,0,37,[],0.02732912008650601,None,None,124.64531570021063,124.64531570021063,0.22954382025636733,1.972241879237387,124.86743320012465,124.64531570021063,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
