sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,Audiogram_none,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_frequency,Audiogram_time,Audiogram_both,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,2.9700970382198193,both,141.0,4.425520358112754,0.0009658501471550715,0,,36,['none'],0.010270566446706653,None,None,66.70533509994857,66.70533509994857,0.2291168663650751,3.1992139045848944,66.92201850004494,66.70533509994857,,,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.9700970382198193,both,158.0,4.676444179518792,0.0007348615938684467,0,,37,['none'],0.002300566527992487,None,['space'],69.92245099996217,69.92245099996217,0.2047642667312175,3.174861304951037,70.13894589990377,69.92245099996217,[-2.583430099999532],,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,2.9700970382198193,both,177.0,5.0,0.000620988873867065,0,,38,['none'],0.0024761667009443045,None,['space'],73.14396369992755,73.14396369992755,0.2186934668570757,3.188790505076895,73.36974999983795,73.14396369992755,[-2.7261328999884427],,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,2.9700970382198193,both,199.0,3.614565903662358,0.00040795897545120927,0,,39,['none'],0.0015411667991429567,None,['space'],76.36310769990087,76.36310769990087,0.20354756666347384,3.173644604883293,76.58119029994123,76.36310769990087,[-2.905598900048062],,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,2.9700970382198193,both,223.0,3.36700021509728,0.00032473108709451533,0,,40,['none'],0.004922566469758749,None,['space'],79.57830199995078,79.57830199995078,0.2128349666018039,3.182932004821623,79.8079327000305,79.57830199995078,[-2.9524834000039846],,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.9700970382198193,both,250.0,1.9026076986339537,0.00020849727789299316,0,,41,['none'],0.00665906653739512,None,['space'],82.79692059988156,82.79692059988156,0.21227996656671166,3.182377004786531,83.01674519991502,82.79692059988156,[-2.93161499989219],,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,2.9700970382198193,both,281.0,4.449283092073852,0.0002247199437440683,0,,42,['none'],0.010274966713041067,None,['space'],86.01761809992604,86.01761809992604,0.23365116654895246,3.2037482047687718,86.24165869993158,86.01761809992604,[-2.855724300025031],,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.9700970382198193,both,,,,1,,42,['none'],0.010493166744709015,None,['space'],89.23692729999311,89.23692729999311,0.2244482666719705,3.19454530489179,89.45677859988064,89.23692729999311,[-2.9633441001642495],,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,2.9700970382198193,both,354.0,2.726026737352602,0.00012112307118091953,0,,43,['none'],0.011489666532725096,None,None,92.44959819992073,92.44959819992073,0.2229099664837122,3.1930070047035315,92.66809699987061,92.44959819992073,,,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,,97.94622669997625,None,2.4270355939070907,both,168.0,4.537062936745383,0.0006440210007938865,0,,44,['none'],0.012344066752120852,None,None,98.99227529997006,None,0.22524176677688956,2.6522773606839802,99.2076347998809,None,,95.6608027999755,None,0.5833333333333334,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
