sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_both,Audiogram_frequency,Audiogram_none,Audiogram_time,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,,,,,"[0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334]",47.52183429989964,None,1.3430785904859583,time,2639.0,2.0,9.726147998452556e-05,0,56,[],0.023339609964750707,None,None,48.531997599988244,None,0.22283560992218554,1.5659142004081439,48.74373029998969,None,,44.62027979991399,None,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
1,0,1,0,1,0,1,0,,,,,,,,1.3430785904859583,time,1662.0,2.249291892248037,7.715189599826445e-05,0,57,[],0.02064580994192511,None,None,50.08441689994652,50.08441689994652,0.22023401001933962,1.563312600505298,50.29904539999552,50.08441689994652,,,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
1,0,1,0,2,0,2,0,,,,,,,,1.3430785904859583,time,3954.0,-8.65757381651458,3.068267772868767e-05,0,58,[],0.017385210026986897,None,['space'],51.62894009996671,51.62894009996671,0.22994231001939625,1.5730209005053546,51.853885899996385,51.62894009996671,[-1.0360808999976143],,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
1,0,1,0,3,0,3,0,,,,,,,,1.3430785904859583,time,4438.0,-8.539149269988439,4.268165561816196e-05,0,59,[],0.02226651005912572,None,None,53.186238599941134,53.186238599941134,0.22216051002033055,1.565239100506289,53.39852749998681,53.186238599941134,,,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
1,0,1,0,4,0,4,0,,,,,,,,1.3430785904859583,time,2351.0,2.23911640365744,0.0001068799912065017,0,60,[],0.022183010005392134,None,['space'],54.73611579998396,54.73611579998396,0.22828730999026448,1.5713659004762228,54.9525937999133,54.73611579998396,[-1.0862178000388667],,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
1,0,1,0,5,0,5,0,,,,,,,,1.3430785904859583,time,,,,1,60,[],0.0151817100122571,None,None,56.28501759993378,56.28501759993378,0.20999581005889922,1.5530744005448576,56.50086209992878,56.28501759993378,,,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
1,0,1,0,6,0,6,0,,,,,,,,1.3430785904859583,time,4981.0,-5.054563562417414,8.462697594710248e-05,0,61,[],0.02362960996106267,None,None,57.835744399926625,57.835744399926625,0.22878990997560322,1.5718685004615616,58.05774229997769,57.835744399926625,,,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
1,0,1,0,7,0,7,0,,,,,,,,1.3430785904859583,time,880.0,0.9629746045762506,4.540690504041982e-05,0,62,[],0.02048140997067094,None,['space'],59.38287490000948,59.38287490000948,0.2218439100543037,1.564922500540262,59.5994866999099,59.38287490000948,[-1.1734353000065312],,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
1,0,1,0,8,0,8,0,,,,,,,,1.3430785904859583,time,988.0,-0.12720584831952117,4.307588810732862e-05,0,63,[],0.016573109896853566,None,['space'],60.93726209993474,60.93726209993474,0.2163240099325776,1.559402600418536,61.157784699928015,60.93726209993474,[-0.9996504000155255],,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
1,0,1,0,9,0,9,0,,,,,,,,1.3430785904859583,time,7907.0,2.0,0.00022499511921612834,0,64,[],0.021922309999354184,None,"['space', 'space']",62.496205599978566,62.496205599978566,0.22744690999388695,1.5705255004798453,62.707897599902935,62.496205599978566,"[-1.0544407999841496, -0.8632996999658644]",,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
