sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,Frequency,Volume,Psychopy_level,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_time,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,,,,,"[0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333]",97.04662459995598,None,1.7019122952917283,time,0,36,[],0.024467819835990667,None,None,98.06931350007653,None,0.23129391996189952,1.9332062152536278,98.27863139985129,None,812.0,0.03334061431817503,3.885800640276446e-05,,92.57956920005381,None,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
1,0,1,0,1,0,1,0,,,,,,,,1.7019122952917283,time,0,37,[],0.020890119951218367,0.21603342005982995,None,99.976747199893,99.976747199893,0.21603342005982995,1.9179457153515582,100.18418970005587,99.976747199893,322.0,1.3949788026143266,0.00011366890528612589,,,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
1,0,1,0,2,0,2,0,,,,,,,,1.7019122952917283,time,0,38,[],0.02276661992073059,None,None,101.88892590021715,101.88892590021715,0.22595332004129887,1.9278656153330271,102.10407749982551,101.88892590021715,542.0,3.4844948982345527,9.692157677207749e-05,,,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
1,0,1,0,3,0,3,0,,,,,,,,1.7019122952917283,time,0,39,[],0.02301741996780038,None,None,103.79621999990195,103.79621999990195,0.2192003196105361,1.9211126149022644,104.00918680010363,103.79621999990195,3248.0,0.31489736379911,7.335115355848233e-05,,,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
1,0,1,0,4,0,4,0,,,,,,,,1.7019122952917283,time,1,39,[],0.02288622036576271,None,['space'],105.70995149994269,105.70995149994269,0.22684652032330632,1.9287588156150346,105.92260299995542,105.70995149994269,,,,[-1.3698638998903334],,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
1,0,1,0,5,0,5,0,,,,,,,,1.7019122952917283,time,0,40,[],0.018058519810438156,None,None,107.62027239985764,107.62027239985764,0.23229512013494968,1.934207415426678,107.84904480027035,107.62027239985764,483.0,3.468253828918352,0.00010780307000359024,,,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
1,0,1,0,6,0,6,0,,,,,,,,1.7019122952917283,time,0,41,[],0.022689719684422016,None,['space'],109.54374480014667,109.54374480014667,0.22044421965256333,1.9223565149442916,109.75637309998274,109.54374480014667,2297.0,0.0,8.139546291729739e-05,[-1.0118356999009848],,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
1,0,1,0,7,0,7,0,,,,,,,,1.7019122952917283,time,0,42,[],0.02036752039566636,0.21301271999254823,['space'],111.45506750000641,111.45506750000641,0.21301271999254823,1.9149250152842765,111.6601010998711,111.45506750000641,1533.0,0.3830736987279043,5.339404737826017e-05,[-1.4904922996647656],,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
1,0,1,0,8,0,8,0,,,,,,,,1.7019122952917283,time,0,43,[],0.022226119879633188,None,['space'],113.36184100015089,113.36184100015089,0.21799981966614723,1.9199121149578755,113.57328299991786,113.36184100015089,1023.0,-0.2697109766475729,4.363817385314388e-05,[-1.0773534998297691],,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
1,0,1,0,9,0,9,0,,,,,,,,1.7019122952917283,time,0,44,[],0.02107011992484331,None,['space'],115.27630400005728,115.27630400005728,0.22231642017140985,1.9242287154631381,115.50371409999207,115.27630400005728,256.0,0.9536918331242608,0.00017982535808663242,[-0.9436368998140097],,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
