sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Audiogram_none,,Audiogram_both,Audiogram_frequency,Audiogram_time,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,0,10,0,,,,,,,,2.992529504776095,time,1261.0,12.493037377426493,0.00022852860430476712,0,51,[],0.02270324993878603,None,['space'],59.63596049998887,59.63596049998887,0.22626224998384714,3.218791754759942,59.84959469991736,59.63596049998887,[-2.8738641999661922],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,11,0,11,0,,,,,,,,2.992529504776095,time,177.0,23.0,0.004932689959622453,0,52,[],0.020084650022909045,None,['space'],62.866062300046906,62.866062300046906,0.2201761498581618,3.2127056546342567,63.08644620003179,62.866062300046906,[-2.9201905000954866],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,12,0,12,0,,,,,,,,2.992529504776095,time,158.0,12.369232567699486,0.0017817426248992589,0,53,[],0.02203985000960529,None,['space'],66.10666109994054,66.10666109994054,0.22503624996170402,3.217565754737799,66.32377070002258,66.10666109994054,[-2.863650199957192],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,13,0,13,0,,,,,,,,2.992529504776095,time,2380.0,17.21828712038861,0.0006042576373474197,0,54,[],0.022155750077217817,None,['space'],69.3382381000556,69.3382381000556,0.225993350148201,3.218522854924296,69.54870170005597,69.3382381000556,[-2.9283251999877393],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,14,0,14,0,,,,,,,,2.992529504776095,time,2120.0,19.74281487637694,0.0007521157823342574,0,55,[],0.022394950268790126,None,['space'],72.56366409990005,72.56366409990005,0.2309215501882136,3.2234510549643085,72.78125820006244,72.56366409990005,[-2.8821852998808026],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,"[0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334]",83.90687479986809,None,1.8887076660193787,none,125.0,0.0,0.000722719885372964,0,118,['none'],0.023957449942827225,None,['space'],84.92360339988954,None,0.22288485011085868,2.111592516130237,85.13601500005461,None,[-4.0092690999154],75.79420130001381,None,"{'estimation': [[125.0, 0.7969123171631864], [126.1313968899241, 1.0], [132.02869222158753, 2.0], [133.9716828170366, 2.3079083651370413], [137.82648988706302, 3.0], [143.57212249061362, 4.0], [143.5872943746293, 4.0025801406363986], [149.93130335516668, 5.0], [153.8930516681145, 5.605402548348754], [157.36762804034214, 6.0], [164.93848884661162, 6.82615404594654], [168.141255403703, 7.0], [176.77669529663666, 7.444943628034864], [189.46457081379947, 7.389911983626781], [197.98205079686514, 7.0], [203.0630990890585, 6.778291874528481], [215.90011224276387, 6.0], [217.6376408240306, 5.898805940351082], [233.25824788420132, 5.132311654679371], [240.59338799009055, 5.0], [249.99999999999937, 4.8362322047629105], [257.2728052371258, 5.0], [267.94336563407256, 5.231782125170804], [281.36979657884365, 6.0], [287.1745887492579, 6.322294137503468], [295.974621711315, 7.0], [307.78610333622805, 7.887797223766941], [309.2507467506309, 8.0], [322.47219169592444, 9.0], [329.87697769322244, 9.546344970348366], [337.8675463577519, 10.0], [353.55339059327247, 10.865285408307757], [358.84521296522774, 11.0], [378.929141627598, 11.492256374884048], [406.12619817811606, 11.253830107834144], [412.93003258675293, 11.0], [435.2752816480601, 10.205812134131111], [439.1782331410438, 10.0], [458.6818884939764, 9.0], [466.5164957684015, 8.61343252503656], [478.12396712845566, 8.0], [497.5256025231927, 7.0], [499.9999999999975, 6.875324195093075], [521.2372792021051, 6.0], [535.8867312681438, 5.4086441511548236], [553.6188481223795, 5.0], [574.3491774985143, 4.531037206149593], [615.5722066724546, 4.370572473731086], [659.7539553864432, 4.826978871605225], [669.8574361955428, 5.0], [707.1067811865431, 5.606498305711053], [734.5815886165794, 6.0], [757.8582832551941, 6.316638523181355], [812.2523963562301, 6.597449965436719], [870.5505632961181, 6.24914634377867], [886.5260973929359, 6.0], [933.0329915368008, 5.298972814263294], [948.0881065808036, 5.0], [999.5587870494778, 4.0], [999.9999999999914, 3.9915922042809084], [1054.6386331863214, 3.0], [1071.773462536285, 2.6937865038789464], [1128.224575357022, 2.0], [1148.698354997026, 1.7517254036488352], [1231.1444133449063, 1.3568697586209448], [1319.5079107728832, 1.4720676741675294], [1414.2135623730846, 1.8506275279046895], [1466.593441575511, 2.0], [1515.7165665103864, 2.1335595426265868], [1616.1600868645944, 2.0], [1624.5047927124563, 1.989180834894997], [1741.1011265922298, 1.2408581424105516], [1763.8768489490008, 1.0], [1859.679733971209, 0.0], [1866.065983073597, -0.0657883927319975], [1943.0121285923583, -1.0], [1999.9999999999802, -1.6748843121834436], [2029.925462760543, -2.0], [2124.57897300761, -3.0], [2143.5469250725646, -3.194501233016939], [2264.7766382580253, -4.0], [2297.396709994046, -4.207057569557607], [2462.2888266898062, -4.375521115640758], [2537.316365965712, -4.0], [2639.01582154576, -3.519379422091427], [2690.0287910241664, -3.0], [2791.693755704677, -2.0], [2828.427124746159, -1.6523821007828676], [2877.0271872230737, -1.0], [2952.2771258042317, 0.0], [3029.9549753451392, 1.0], [3031.4331330207615, 1.0186401527559767], [3099.3543801170504, 2.0], [3168.7180815599236, 3.0], [3239.769429449416, 4.0], [3249.0095854249043, 4.127594545240841], [3314.5129042387357, 5.0], [3389.5970704715296, 6.0], [3466.2753061787807, 7.0], [3482.2022531844555, 7.203863393198505], [3559.1358948290253, 8.0], [3656.7659100023907, 9.0], [3732.13196614718, 9.752359898979321], [3772.7572183960647, 10.0], [3940.1988634274485, 11.0], [3999.9999999999504, 11.347037206391411], [4287.093850145118, 11.716939087789527], [4529.927777668819, 11.0], [4594.793419988081, 10.816997883690068], [4727.790017929544, 10.0], [4897.019974163464, 9.0], [4924.577653379601, 8.842561096667858], [5033.904177204291, 8.0], [5166.39836717051, 7.0], [5278.031643091506, 6.189252948169692], [5302.76905474498, 6.0], [5434.094623426844, 5.0], [5567.977781696622, 4.0], [5656.854249492303, 3.3576019489746036], [5713.550616379575, 3.0], [5872.728965512552, 2.0], [6035.354911156485, 1.0], [6062.866266041508, 0.8344579514087977], [6256.862973256537, 0.0], [6493.888114861232, -1.0], [6498.019170849792, -1.0171407429065198], [6950.868931028688, -2.0], [6964.404506368894, -2.028625023875104], [7464.2639322943505, -2.2325600366972833], [7764.9437965720035, -2.0], [7999.999999999882, -1.8179320022246812]], 'plus_line': [[125.00000000000007, -8.987489952791437], [129.54398300475447, -8.0], [133.9716828170366, -7.066303906284722], [134.3357040279045, -7.0], [139.92402584332834, -6.0], [143.5872943746293, -5.348692853662914], [145.82450447891011, -5.0], [152.30693077578638, -4.0], [153.89305166811442, -3.7602129543062492], [160.20737005789243, -3.0], [164.9384888466117, -2.448742167031067], [171.38222686097075, -2.0], [176.77669529663666, -1.6489114142829195], [189.46457081379947, -1.5291381594140363], [202.14911132104493, -2.0], [203.0630990890585, -2.033428911979203], [217.6376408240306, -2.8906675345213064], [219.79039198233414, -3.0], [233.25824788420132, -3.6716046783787766], [249.99999999999937, -3.9687914537809825], [267.94336563407256, -3.5793150850021416], [278.137810202504, -3.0], [287.1745887492579, -2.502482691200229], [293.90722283447695, -2.0], [307.36910368278023, -1.0], [307.78610333622805, -0.9698034440655836], [321.1057522575505, 0.0], [329.876977693222, 0.6368306930746401], [336.3407397543322, 1.0], [353.55339059327247, 1.9479077494890018], [355.4228572590992, 2.0], [378.929141627598, 2.6161415671756796], [406.12619817811606, 2.470236855718798], [420.0437687350797, 2.0], [435.2752816480601, 1.5044950426534829], [444.8452889913549, 1.0], [464.8376455007058, 0.0], [466.5164957684015, -0.08165056716417043], [482.596795378894, -1.0], [499.9999999999975, -1.9334333749918624], [501.4098129770562, -2.0], [522.6531950135542, -3.0], [535.8867312681438, -3.5964900089144427], [550.5292017341096, -4.0], [574.3491774985143, -4.646525581134652], [615.5722066724546, -4.8681857848735035], [659.7539553864432, -4.339588782497308], [675.938799716223, -4.0], [707.1067811865431, -3.3850516841632494], [727.7651114136859, -3.0], [757.8582832551941, -2.4759926983651317], [812.2523963562301, -2.0289021360055695], [870.5505632961181, -2.2975245653811562], [915.8239225637873, -3.0], [933.0329915368008, -3.259017911342225], [966.9648636379757, -4.0], [999.9999999999926, -4.691951789889698], [1014.3371397924251, -5.0], [1061.714854268411, -6.0], [1071.773462536285, -6.2081109932360174], [1123.3301853731984, -7.0], [1148.6983549970246, -7.384131362113347], [1231.1444133449063, -7.913290545848966], [1319.5079107728832, -7.793466765847295], [1414.2135623730828, -7.3153616249581574], [1502.0213300359894, -7.0], [1515.7165665103846, -6.954429889754912], [1540.793578005035, -7.0], [1624.5047927124563, -7.154878675605362], [1731.320462126323, -8.0], [1741.1011265922318, -8.076623169684538], [1815.8194399512624, -9.0], [1866.065983073597, -9.595619360200258], [1896.017101388858, -10.0], [1972.5817808994736, -11.0], [1999.9999999999802, -11.344493675336647], [2059.3514712544597, -12.0], [2143.5469250725646, -12.873950945153652], [2164.5463039416377, -13.0], [2297.396709994046, -13.762909048686609], [2462.2888266898062, -13.69812944991424], [2569.254535844162, -13.0], [2639.01582154576, -12.573113860173727], [2690.5338557518635, -12.0], [2781.4831745210145, -11.0], [2828.427124746159, -10.498460643148874], [2865.778429410892, -9.999999999999998], [2939.7496370117688, -9.0], [3012.802108769948, -8.0], [3031.433133020758, -7.751716647847701], [3086.889032934851, -7.0], [3158.0596516481623, -6.0], [3227.733173640735, -5.0], [3249.0095854249043, -4.700869747003756], [3306.2308839888265, -4.0], [3385.0038682155514, -3.0], [3461.905086821207, -2.0], [3482.2022531844555, -1.7409274500490421], [3559.2471864679146, -1.0], [3660.5366454243635, 0.0], [3732.1319661471844, 0.7088332062992975], [3781.8062456545886, 1.0], [3953.988698686335, 2.0], [3999.9999999999504, 2.2624553910150937], [4287.093850145118, 2.6482697851346826], [4524.301861231822, 2.0], [4594.793419988081, 1.8128178150215224], [4730.740114598051, 1.0], [4911.076738416251, 0.0], [4924.577653379601, -0.07248950039253518], [5043.799372792021, -1.0], [5180.617397869993, -2.0], [5278.0316430915, -2.663431053082256], [5320.329312162287, -3.0], [5447.399965988802, -4.0], [5583.544986349679, -5.0], [5656.854249492303, -5.507758898996862], [5729.250628083453, -6.0], [5879.351925417868, -7.0], [6040.918165094172, -8.0], [6062.866266041508, -8.13197414028047], [6246.607348154692, -9.0], [6471.632012899635, -10.000000000000002], [6498.019170849792, -10.114377812036114], [6876.927525267436, -11.0], [6964.404506368894, -11.197869388097587], [7464.2639322943505, -11.452044410654867], [7999.999999999892, -11.328584529183885]], 'minus_line': [[125.0, 10.32776472479101], [130.12839279462622, 11.0], [133.9716828170366, 11.465011625732686], [136.82600867794568, 12.0], [142.41664299606282, 13.0], [143.5872943746293, 13.2023806155524], [148.26512245861417, 14.0], [153.89305166811442, 14.90829951109672], [154.70229614268686, 15.0], [163.81667524204073, 16.0], [164.93848884661162, 16.118702088352876], [176.77669529663666, 16.610499169497327], [189.46457081379947, 16.385820565065067], [196.22440460881677, 16.0], [203.0630990890585, 15.634701979546973], [212.42967400098894, 15.0], [217.6376408240306, 14.664386271765744], [230.04323410086266, 14.0], [233.25824788420132, 13.836881479919391], [249.99999999999937, 13.508111546686552], [267.94336563407256, 13.900027033535018], [269.56503189324695, 14.0], [286.24199615772943, 15.0], [287.1745887492579, 15.054472622705783], [298.3808339631467, 16.0], [307.78610333622805, 16.75125136006812], [310.74382699104405, 17.0], [322.8248586393037, 18.0], [329.87697769322244, 18.557140906662358], [337.11844983207675, 19.0], [353.55339059327247, 19.964377436570494], [354.98710736704896, 20.0], [378.929141627598, 20.586504457363183], [406.12619817811606, 20.231633062923734], [411.4973999544398, 20.0], [435.2752816480601, 19.018545003757303], [435.6042625998279, 19.0], [453.8201634067751, 18.0], [466.5164957684015, 17.314567123495095], [472.4621042822263, 17.0], [491.54494964143004, 16.0], [499.9999999999975, 15.56402205413811], [514.5258110887453, 15.0], [535.8867312681438, 14.178426528086472], [544.6002414392392, 14.0], [574.3491774985143, 13.414145725603474], [615.5722066724546, 13.313536552218425], [659.7539553864432, 13.746425788777252], [676.7004942499999, 14.0], [707.1067811865431, 14.444454561417668], [753.3828450538394, 15.0], [757.8582832551951, 15.052858995550627], [812.2523963562301, 15.263689533850577], [850.4843333156658, 15.0], [870.5505632961181, 14.871120869237025], [927.8513086982125, 14.0], [933.0329915368008, 13.924097652044367], [983.0602669015911, 13.0], [999.9999999999926, 12.692339185261812], [1042.5253263377144, 12.0], [1071.773462536285, 11.530918658037098], [1121.9600284504231, 11.0], [1148.6983549970273, 10.726625329715324], [1231.1444133449063, 10.389198886811242], [1319.5079107728832, 10.435993672492486], [1414.2135623730828, 10.67018648910313], [1515.7165665103846, 10.847071499516368], [1624.5047927124563, 10.730157849111915], [1741.1011265922318, 10.125482324992934], [1754.835943566439, 10.0], [1865.3407270573396, 9.0], [1866.0659830735945, 8.9935299045074], [1955.834418599494, 8.0], [1999.9999999999802, 7.511061185934967], [2048.499413208745, 7.0], [2143.5469250725646, 6.004186001016351], [2144.113680097378, 6.0], [2284.58152685394, 5.000000000000001], [2297.3967099940432, 4.9121401061785335], [2462.2888266898062, 4.605533873062418], [2557.319024556129, 5.0], [2639.01582154576, 5.330028071882089], [2705.4902813823237, 6.0], [2810.768121812435, 7.0], [2828.427124746159, 7.162299715621508], [2886.218151630415, 8.0], [2957.936063076925, 9.0], [3031.4331330207615, 9.952408276329537], [3034.3994235722917, 10.0], [3095.630603415091, 11.0], [3159.091600119145, 12.0], [3226.8691135585627, 13.0], [3249.0095854249043, 13.31506356293108], [3294.1957889161645, 14.0], [3361.1897584165445, 15.0], [3431.970300404026, 16.0], [3482.2022531844596, 16.671196415837898], [3510.645481192365, 17.0], [3597.8092504485994, 18.0], [3690.372862058104, 19.0], [3732.1319661471844, 19.433050635601994], [3819.259516160366, 20.0], [3980.9371294621355, 21.0], [3999.999999999946, 21.114890611182087], [4287.093850145118, 21.454972376269282], [4417.993919053788, 21.0], [4594.793419988081, 20.41574687020008], [4656.963979577356, 20.0], [4807.838458317959, 19.0], [4924.577653379601, 18.235907199050892], [4954.027497076096, 18.0], [5078.943251940996, 17.0], [5201.630523604204, 16.0], [5278.031643091506, 15.387005146125547], [5329.0005540696775, 15.0], [5459.121514661379, 14.0], [5586.218376315292, 13.0], [5656.854249492303, 12.45173809629042], [5731.726903923533, 12.0], [5894.945094791666, 11.0], [6054.695673201114, 10.0], [6062.866266041516, 9.950054327968182], [6301.263979831481, 9.0], [6498.019170849792, 8.203903374404177], [6598.985615832936, 8.0], [6964.404506368894, 7.282975856101701], [7464.2639322943505, 7.180100140445244], [7999.999999999882, 7.953583551991583]]}",,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,2.769391168427307,none,445.0,6.479403296125001,0.00015656546777599053,0,119,['none'],0.013263750122860074,None,None,87.05699029983953,87.05699029983953,0.2185990500729531,2.98799021850026,87.27301270002499,87.05699029983953,,,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,1.7155127490118816,none,297.0,9.126301828188137,0.0003365553453562281,0,120,['none'],0.021463749930262566,None,['space'],90.07083679991774,90.07083679991774,0.22713855002075434,1.942651299032636,90.28258070000447,90.07083679991774,[-2.3483150999527425],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,1.398764051434,none,794.0,4.191355316306947,6.260584349160629e-05,0,121,['none'],0.020339950220659375,None,['space'],92.0296551999636,92.0296551999636,0.23310535005293787,1.631869401486938,92.24804649990983,92.0296551999636,[-1.555227299919352],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,1.7483064068899594,none,1000.0,1.96567669050547,5.524002149016335e-05,0,122,['none'],0.02126065012998879,None,None,93.67417049990036,93.67417049990036,0.2273705501575023,1.9756769570474617,93.8869908999186,93.67417049990036,,,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
