sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_time,Audiogram_both,Audiogram_frequency,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,0,10,0,,,,,,,,2.3662689047164847,time,199.0,0.9999065101725542,0.00030191418816489325,0,35,[],0.0037326666642911732,0.2007328666804824,None,66.44840130000375,66.44840130000375,0.2007328666804824,2.567001771396967,66.66046789998654,66.44840130000375,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,"[0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333]",73.48166170000331,None,2.1659074858768363,none,668.0,6.401602194653823,9.995433171193521e-05,0,26,[],0.012721466657239944,None,None,74.5260333000042,None,0.21119156666100025,2.3770990525378366,74.74237910000375,None,,69.06057729999884,None,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,2.4184484551022734,none,354.0,1.0,9.929457867117957e-05,0,27,[],0.002967766660731286,None,None,76.92912509999587,76.92912509999587,0.2032192666665651,2.6216677217688384,77.14725529999123,76.92912509999587,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.197105042367033,none,315.0,2.4856734441730746,0.00013129665943999364,0,28,[],0.011200666660442948,None,None,79.59586679999484,79.59586679999484,0.22017196664819494,2.417277009015228,79.80687339999713,79.59586679999484,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,2.452371699117851,none,1001.0,1.5432944406612723,5.2668007255646785e-05,0,29,[],0.011509166652103886,None,None,82.03564769998775,82.03564769998775,0.22218376665841788,2.674555465776269,82.25670279999031,82.03564769998775,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,1.5510336070854485,none,1261.0,3.9640509545129943,8.560344568483756e-05,0,30,[],0.008870466641383246,None,None,84.7291111999948,84.7291111999948,0.2104726666584611,1.7615062737439096,84.95020029999432,84.7291111999948,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,2.0308574411817215,none,397.0,6.241176511356038,0.0001586444221581353,0,31,[],0.010443766659591347,None,None,86.5303058999998,86.5303058999998,0.21243306665564887,2.2432905078373704,86.74411309999414,86.5303058999998,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,1.9835004321893117,none,250.0,4.001587121428006,0.00026549072924007784,0,32,[],0.011184766655787826,None,"['space', 'space', 'space', 'space', 'space']",88.79670609999448,88.79670609999448,0.21892136667156592,2.2024217988608776,89.01625600000261,88.79670609999448,"[-1.259861099999398, -1.0693543999805115, -0.7651517999765929, -0.604576099984115, -0.34825999999884516]",,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,1.4641153005316996,none,1589.0,4.028188910442902,8.875832329218948e-05,0,33,[],0.006809266633354127,None,None,91.02250979997916,91.02250979997916,0.21498476664419286,1.6791000671758924,91.24388639998506,91.02250979997916,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.7330907935189828,none,132.0,1.890042838452322,0.0008209360369423675,0,34,[],0.010849066660739481,None,None,92.73122339998372,92.73122339998372,0.2195706666680053,2.952661460186988,92.94318360000034,92.73122339998372,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
