sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_both,Audiogram_time,Audiogram_frequency,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,0,10,0,,,,,,,,1.3643564379672408,time,133.0,11.506021136409615,0.002450268716223433,0,33,[],0.024337899987585843,0.22349370003212243,None,68.2044840999879,68.2044840999879,0.22349370003212243,1.5878501379993633,68.41523849999066,68.2044840999879,,,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
0,0,0,0,11,0,11,0,,,,,,,,1.3643564379672408,time,354.0,22.0,0.001114103496812016,0,34,[],0.023192199878394604,None,['space'],69.77265520009678,69.77265520009678,0.22647819994017482,1.5908346379074156,69.98711780004669,69.77265520009678,[-1.012896400061436],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
1,0,1,0,0,0,0,0,,,,,"[0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]",80.71627670002636,None,1.7404376743635332,none,177.0,14.083739174677362,0.0017671392690981268,0,24,[],0.019171700114384294,None,None,81.7366790000815,None,0.21929370006546378,1.959731374428997,81.9483963000821,None,,71.3537208000198,None,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
1,0,1,0,1,0,1,0,,,,,,,,2.625577476357271,none,446.0,17.904769513120964,0.0005829956830046766,0,25,[],0.022591400076635182,None,['space'],83.69116470008157,83.69116470008157,0.22676050011068583,2.8523379764679566,83.89886630000547,83.69116470008157,[-1.4438919000094756],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
1,0,1,0,2,0,2,0,,,,,,,,2.9020263133793893,none,140.0,10.015905756811351,0.0018665582525141647,0,26,[],0.022646799916401505,None,['space'],86.52493860002141,86.52493860002141,0.22927669994533062,3.13130301332472,86.74574540008325,86.52493860002141,[-2.421524800010957],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
1,0,1,0,3,0,3,0,,,,,,,,2.715082511319064,none,354.0,22.0,0.001114103496812016,0,27,[],0.02269949996843934,None,['space'],89.64238480001222,89.64238480001222,0.227680700016208,2.942763211335272,89.85928400000557,89.64238480001222,[-2.6749496000120416],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
1,0,1,0,4,0,4,0,,,,,,,,2.30872907544284,none,795.0,19.306738569140464,0.0003563466622653901,0,28,[],0.02281789993867278,None,['space'],92.5627916000085,92.5627916000085,0.22288549994118512,2.531614575384025,92.77371270000003,92.5627916000085,[-2.523370199953206],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
1,0,1,0,5,0,5,0,,,,,,,,1.5889023986329271,none,281.0,21.960674010852873,0.001687373263502467,0,29,[],0.02265840012114495,None,['space'],95.07725450000726,95.07725450000726,0.23033530008979142,1.8192376987227186,95.29914340004325,95.07725450000726,[-2.0142589999595657],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
1,0,1,0,6,0,6,0,,,,,,,,1.7121083797390977,none,562.0,21.787692448044783,0.0007588938441208093,0,30,[],0.016169700073078275,0.21019640006124973,['space'],96.87755710002966,96.87755710002966,0.21019640006124973,1.9223047798003474,97.09482250001747,96.87755710002966,[-1.3506503000389785],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
1,0,1,0,7,0,7,0,,,,,,,,2.0444682203623334,none,708.0,19.852083840383397,0.00043576184858414274,0,31,[],0.022047099890187383,None,['space'],98.8026335000759,98.8026335000759,0.22226489998865873,2.266733120350992,99.01590890006628,98.8026335000759,[-1.4831097000278533],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
