sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_both,Audiogram_frequency,Audiogram_time,Audiogram_none,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
2,0,2,0,0,0,0,0,,,,,0.3333333333333333,133.20304229995236,None,2.1257449864496927,both,1416.0,3.3366687721516834,7.39878592147603e-05,0,25,[],0.023664399981498718,None,None,134.21724929998163,None,0.23420469998382032,2.359949686433513,134.4398962999694,None,,129.82761419995222,None,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,2.1257449864496927,both,1124.0,1.6633466516233821,5.963162147471692e-05,0,26,[],0.021085700020194054,None,['space'],136.58529399998952,136.58529399998952,0.22478599997702986,2.3505309864267225,136.79203050001524,136.58529399998952,[-1.8316049999557436],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,2.1257449864496927,both,892.0,1.4401426298510294,4.837373837059169e-05,0,27,[],0.019618099904619157,None,['space'],138.9439295999473,138.9439295999473,0.21708059997763485,2.3428255864273275,139.16076729993802,138.9439295999473,[-1.8549298000289127],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,2.1257449864496927,both,708.0,1.87135181210163,5.498099603023499e-05,0,28,[],0.01491840009111911,None,['space'],141.3185891000321,141.3185891000321,0.20773210003972054,2.333477086489413,141.53348500002176,141.3185891000321,[-1.990446100011468],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,2.1257449864496927,both,562.0,2.362395866147547,8.108045943207661e-05,0,29,[],0.015979500021785498,None,['space'],143.6864073999459,143.6864073999459,0.21077380003407598,2.3365187864837687,143.90033249999397,143.6864073999459,[-1.4617058999137953],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
2,0,2,0,5,0,5,0,,,,,,,,2.1257449864496927,both,446.0,3.454556002952617,0.00011044718805693719,0,30,[],0.02172179997432977,None,['space'],146.05682549998164,146.05682549998164,0.22338660003151745,2.34913158648121,146.27254789997824,146.05682549998164,[0.11961809999775141],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
2,0,2,0,6,0,6,0,,,,,,,,2.1257449864496927,both,354.0,1.0,9.929457867117957e-05,0,31,[],0.015558100072667003,None,['space'],148.4246320000384,148.4246320000384,0.21040260000154376,2.3361475864512364,148.64117570000235,148.4246320000384,[0.02356490003876388],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
2,0,2,0,7,0,7,0,,,,,,,,2.1257449864496927,both,,,,1,31,[],0.014743300038389862,None,None,150.79501040000468,150.79501040000468,0.2079776000464335,2.333722586496126,151.01282930001616,150.79501040000468,,,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
2,0,2,0,8,0,8,0,,,,,,,,2.1257449864496927,both,223.0,1.3456033003804357,0.0002573084334211364,0,32,[],0.02266130002681166,None,None,153.16397959995084,153.16397959995084,0.22511290002148598,2.3508578864711787,153.38005589996465,153.16397959995084,,,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
2,0,2,0,9,0,9,0,,,,,,,,2.1257449864496927,both,177.0,1.1265987266565092,0.0003975701369693113,0,33,[],0.021615599864162505,None,"['space', 'space']",155.53338089992758,155.53338089992758,0.22492259996943176,2.3506675864191244,155.74798869993538,155.53338089992758,"[-1.7568139999639243, 0.09970020002219826]",,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
2,0,2,0,10,0,10,0,,,,,,,,2.1257449864496927,both,140.0,1.28259647549173,0.000682929831913982,0,34,[],0.021615599980577826,None,None,157.90476710000075,157.90476710000075,0.22920379997231066,2.3549487864220033,158.1161445999751,157.90476710000075,,,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
3,0,3,0,0,0,0,0,,,,,0.3333333333333333,166.9003684000345,None,2.945983174987922,both,8000.0,0.0,0.0001815390273850507,0,35,[],0.024072499945759773,None,None,167.9240997999441,None,0.24594479997176677,3.1919279749596887,168.14891310001258,None,,160.27081130002625,None,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
3,0,3,0,1,0,1,0,,,,,,,,2.945983174987922,both,6350.0,-0.591510244184303,0.00012286499473462695,0,36,[],0.018204000080004334,None,['space'],171.11216339992825,171.11216339992825,0.21634630009066314,3.162329475078585,171.33222550002392,171.11216339992825,[-2.695400500087999],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
3,0,3,0,2,0,2,0,,,,,,,,2.945983174987922,both,5040.0,-1.2425224481796113,0.0001311081119598435,0,37,[],0.021324200090020895,None,['space'],174.30672689992934,174.30672689992934,0.22475240007042885,3.170735575058351,174.52232480002567,174.30672689992934,[-2.577383799944073],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
3,0,3,0,3,0,3,0,,,,,,,,2.945983174987922,both,,,,1,37,[],0.021567999967373908,None,['space'],177.49384120001923,177.49384120001923,0.22645469999406487,3.172437874981987,177.70343889994547,177.49384120001923,[-2.6933966000797227],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
